SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	7	Andreas	Andreas	NP	NE	_	nom|sg|masc	An-dre-as	_	_	B-PER	0	_	_	_	_
_	0	0	1	8	16	Gryphius	Gryphius	NP	NE	_	nom|sg|masc	Gry-phi-us	_	_	I-PER	0	_	_	_	_
_	0	0	2	17	18	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	0	3	18	19	*	--	O	XY	_	_	*	_	_	_	0	_	_	_	_
_	0	0	4	20	22	2.	2.	ADJ	ADJA	_	_	2.	_	_	_	0	_	_	_	_
_	0	0	5	23	30	Oktober	Oktober	NN	NN	_	dat|sg|masc	Ok-to-ber	_	_	_	0	_	_	_	_
_	0	0	6	31	35	1616	1616	CARD	CARD	_	_	1616	_	_	_	0	_	_	_	_
_	0	0	7	36	38	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	8	39	45	Glogau	Glogau	NP	NE	_	dat|sg|neut	Glo-gau	_	_	B-LOC	0	_	_	_	_
_	0	0	9	45	46	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	10	47	57	Fürstentum	Fürstentum	NN	NN	_	dat|sg|neut	Fürs-ten-tum	_	_	B-LOC	0	_	_	_	_
_	0	0	11	58	64	Glogau	Glogau	NP	NE	_	dat|sg|neut	Glo-gau	_	_	I-LOC	0	_	_	_	_
_	0	0	12	64	65	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	13	66	67	†	†	PP	APPRART	_	_	†	_	_	_	0	_	_	_	_
_	0	0	14	68	71	16.	16.	ADJ	ADJA	_	*|sg|masc|pos	16.	_	_	_	0	_	_	_	_
_	0	0	15	72	76	Juli	Juli	NN	NN	_	nom|sg|masc	Ju-li	_	_	_	0	_	_	_	_
_	0	0	16	77	81	1664	1664	CARD	CARD	_	nom|sg|masc	1664	_	_	_	0	_	_	_	_
_	0	0	17	82	88	ebenda	ebenda	ADV	ADV	_	sg|3|past|ind	eben-da	_	_	_	0	_	_	_	_
_	0	0	18	88	89	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	19	90	100	eigentlich	eigentlich	ADV	ADV	_	_	ei-gent-lich	_	_	_	0	_	_	_	_
_	0	0	20	101	108	Andreas	Andreas	NP	NE	_	nom|sg|masc	An-dre-as	_	_	B-PER	0	_	_	_	_
