SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	9	Christoph	Christoph	NP	NE	_	nom|sg|masc	Chris-toph	_	_	B-PER	0	_	_	_	_
_	0	0	1	10	16	Martin	Martin	NP	NE	_	nom|sg|masc	Mar-tin	_	_	I-PER	0	_	_	_	_
_	0	0	2	17	24	Wieland	Wieland	NP	NE	_	nom|sg|masc	Wie-land	_	_	I-PER	0	_	_	_	_
_	0	0	3	25	26	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	0	4	26	27	*	--	PP	APPRART	_	_	*	_	_	_	0	_	_	_	_
_	0	0	5	28	30	5.	5.	ADJ	ADJA	_	_	5.	_	_	_	0	_	_	_	_
_	0	0	6	31	40	September	September	NN	NN	_	*|sg|neut	Sep-tem-ber	_	_	_	0	_	_	_	_
_	0	0	7	41	45	1733	1733	CARD	CARD	_	_	1733	_	_	_	0	_	_	_	_
_	0	0	8	46	48	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	9	49	61	Oberholzheim	Oberholzheim	NP	NE	_	dat|sg|neut	Ober-holz-heim	_	_	B-LOC	0	_	_	_	_
_	0	0	10	62	65	bei	bei	PP	APPR	_	_	bei	_	_	_	0	_	_	_	_
_	0	0	11	66	74	Biberach	Biberach	NP	NE	_	dat|sg|neut	Bi-berach	_	_	B-LOC	0	_	_	_	_
_	0	0	12	75	77	an	an	PP	APPR	_	_	an	_	_	_	0	_	_	_	_
_	0	0	13	78	81	der	der	ART	ART	_	dat|sg|fem	der	_	_	_	0	_	_	_	_
_	0	0	14	82	85	Riß	Riß	NN	NN	_	dat|sg|fem	Riß	_	_	_	0	_	_	_	_
_	0	0	15	85	86	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	16	87	88	†	†	PP	APPRART	_	_	†	_	_	_	0	_	_	_	_
_	0	0	17	89	92	20.	20.	ADJ	ADJA	_	_	20.	_	_	_	0	_	_	_	_
_	0	0	18	93	99	Januar	Januar	NN	NN	_	dat|sg|masc	Ja-nu-ar	_	_	_	0	_	_	_	_
_	0	0	19	100	104	1813	1813	CARD	CARD	_	_	1813	_	_	_	0	_	_	_	_
_	0	0	20	105	107	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	21	108	114	Weimar	Weimar	NP	NE	_	dat|sg|neut	Wei-mar	_	_	B-LOC	0	_	_	_	_
_	0	0	22	114	115	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	23	116	139	Sachsen-Weimar-Eisenach	Sachsen-Weimar-Eisenach	NP	NE	_	dat|sg|neut	Sach-sen-​Wei-mar-​Ei-sen-ach	_	_	B-LOC	0	_	_	_	_
_	0	0	24	139	140	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	0	0	25	141	144	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	0	26	145	148	ein	ein	ART	ART	_	nom|sg|masc	ein	_	_	_	0	_	_	_	_
_	0	0	27	149	158	deutscher	deutsch	ADJ	ADJA	_	nom|sg|masc|pos	deut-scher	_	_	B-MISC	0	_	_	_	_
_	0	0	28	159	166	Dichter	Dichter	NN	NN	_	nom|sg|masc	Dich-ter	_	_	_	0	_	_	_	_
_	0	0	29	166	167	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	30	168	178	Übersetzer	Übersetzer	NN	NN	_	*|*|*|pos	Über-set-zer	_	_	_	0	_	_	_	_
_	0	0	31	179	182	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	0	32	183	194	Herausgeber	Herausgeber	NN	NN	_	dat|sg|*	Her-aus-ge-ber	_	_	_	0	_	_	_	_
_	0	0	33	195	198	zur	zu	PP	APPRART	_	dat|sg|fem	zur	_	_	_	0	_	_	_	_
_	0	0	34	199	203	Zeit	Zeit	NN	NN	_	dat|sg|fem	Zeit	_	_	_	0	_	_	_	_
_	0	0	35	204	207	der	der	ART	ART	_	dat|sg|fem	der	_	_	_	0	_	_	_	_
_	0	0	36	208	218	Aufklärung	Aufklärung	NN	NN	_	dat|sg|fem	Auf-klä-rung	_	_	_	0	_	_	_	_
_	0	0	37	218	219	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	1	38	220	227	Wieland	Wieland	NP	NE	_	nom|sg|neut	Wie-land	_	_	B-PER	0	_	_	_	_
_	0	1	39	228	231	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	1	40	232	237	einer	einer	PR	PIS	_	nom|sg|masc	ei-ner	_	_	_	0	_	_	_	_
_	0	1	41	238	241	der	der	ART	ART	_	nom|sg|masc	der	_	_	_	0	_	_	_	_
_	0	1	42	242	255	bedeutendsten	bedeutend	ADJ	ADJA	_	gen|pl|masc|sup	be-deu-tends-ten	_	_	_	0	_	_	_	_
_	0	1	43	256	270	Schriftsteller	Schriftsteller	NN	NN	_	gen|pl|masc	Schrift-stel-ler	_	_	_	0	_	_	_	_
_	0	1	44	271	274	der	der	ART	ART	_	gen|sg|fem	der	_	_	_	0	_	_	_	_
_	0	1	45	275	285	Aufklärung	Aufklärung	NN	NN	_	gen|sg|fem	Auf-klä-rung	_	_	_	0	_	_	_	_
_	0	1	46	286	288	im	in	PP	APPRART	_	dat|sg|neut	im	_	_	_	0	_	_	_	_
_	0	1	47	289	298	deutschen	deutsch	ADJ	ADJA	_	dat|sg|neut|pos	deut-schen	_	_	B-MISC	0	_	_	_	_
_	0	1	48	299	311	Sprachgebiet	Sprachgebiet	NN	NN	_	dat|sg|neut	Sprach-ge-biet	_	_	_	0	_	_	_	_
_	0	1	49	312	315	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	1	50	316	319	der	der	ART	ART	_	dat|sg|fem	der	_	_	_	0	_	_	_	_
_	0	1	51	320	327	Älteste	Ältest	NN	NN	_	dat|sg|fem	Äl-tes-te	_	_	_	0	_	_	_	_
_	0	1	52	328	331	des	der	ART	ART	_	gen|sg|masc	des	_	_	_	0	_	_	_	_
_	0	1	53	332	343	klassischen	klassisch	ADJ	ADJA	_	gen|sg|masc|pos	klas-si-schen	_	_	_	0	_	_	_	_
_	0	1	54	344	356	Viergestirns	Viergestirn	NN	NN	_	gen|sg|masc	Vier-ge-stirns	_	_	_	0	_	_	_	_
_	0	1	55	357	360	von	von	PP	APPR	_	_	von	_	_	_	0	_	_	_	_
_	0	1	56	361	367	Weimar	Weimar	NP	NE	_	dat|sg|neut	Wei-mar	_	_	B-LOC	0	_	_	_	_
_	0	1	57	367	368	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	1	58	369	371	zu	zu	PP	APPR	_	_	zu	_	_	_	0	_	_	_	_
_	0	1	59	372	375	dem	der	PR	PRELS	_	dat|sg|neut	dem	_	_	_	0	_	_	_	_
_	0	1	60	376	378	er	er	PR	PPER	_	nom|sg|masc|3	er	_	_	_	0	_	_	_	_
_	0	1	61	379	384	neben	neben	PP	APPR	_	_	ne-ben	_	_	_	0	_	_	_	_
_	0	1	62	385	391	Johann	Johann	NP	NE	_	nom|sg|masc	Jo-hann	_	_	B-PER	0	_	_	_	_
_	0	1	63	392	401	Gottfried	Gottfried	NP	NE	_	nom|sg|masc	Gott-fried	_	_	I-PER	0	_	_	_	_
_	0	1	64	402	408	Herder	Herder	NP	NE	_	nom|sg|masc	Her-der	_	_	I-PER	0	_	_	_	_
_	0	1	65	408	409	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
