SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	6	Conrad	Conrad	NP	NE	_	nom|sg|neut	Con-rad	_	_	B-PER	0	_	_	_	_
_	0	0	1	7	16	Ferdinand	Ferdinand	NP	NE	_	nom|sg|neut	Fer-di-nand	_	_	I-PER	0	_	_	_	_
_	0	0	2	17	22	Meyer	Meyer	NP	NE	_	acc|sg|*	Mey-er	_	_	I-PER	0	_	_	_	_
_	0	0	3	23	24	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	0	4	24	25	*	--	O	XY	_	_	*	_	_	_	0	_	_	_	_
_	0	0	5	26	29	11.	11.	ADJ	ADJA	_	_	11.	_	_	_	0	_	_	_	_
_	0	0	6	30	37	Oktober	Oktober	NN	NN	_	dat|sg|masc	Ok-to-ber	_	_	_	0	_	_	_	_
_	0	0	7	38	42	1825	1825	CARD	CARD	_	_	1825	_	_	_	0	_	_	_	_
_	0	0	8	43	45	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	9	46	52	Zürich	Zürich	NP	NE	_	dat|sg|neut	Zü-rich	_	_	_	0	_	_	_	_
_	0	0	10	52	53	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	11	54	55	†	†	O	XY	_	_	†	_	_	_	0	_	_	_	_
_	0	0	12	56	59	28.	28.	ADJ	ADJA	_	_	28.	_	_	_	0	_	_	_	_
_	0	0	13	60	68	November	November	NN	NN	_	_	No-vem-ber	_	_	_	0	_	_	_	_
_	0	0	14	69	73	1898	1898	CARD	CARD	_	_	1898	_	_	_	0	_	_	_	_
_	0	0	15	74	76	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	16	77	86	Kilchberg	Kilchberg	NP	NE	_	dat|sg|neut	Kilch-berg	_	_	B-LOC	0	_	_	_	_
_	0	0	17	87	90	bei	bei	PP	APPR	_	_	bei	_	_	_	0	_	_	_	_
_	0	0	18	91	97	Zürich	Zürich	NP	NE	_	dat|sg|neut	Zü-rich	_	_	_	0	_	_	_	_
_	0	0	19	97	98	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	0	0	20	99	102	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	0	21	103	106	ein	ein	ART	ART	_	nom|sg|masc	ein	_	_	_	0	_	_	_	_
_	0	0	22	107	116	Schweizer	Schweizer	ADJ	ADJA	_	*|*|*|pos	Schwei-zer	_	_	B-MISC	0	_	_	_	_
_	0	0	23	117	124	Dichter	Dichter	NN	NN	_	nom|sg|masc	Dich-ter	_	_	_	0	_	_	_	_
_	0	0	24	125	128	des	der	ART	ART	_	gen|sg|masc	des	_	_	_	0	_	_	_	_
_	0	0	25	129	138	Realismus	Realismus	NN	NN	_	gen|sg|masc	Rea-lis-mus	_	_	_	0	_	_	_	_
_	0	0	26	138	139	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	27	140	143	der	der	ART	ART	_	nom|sg|masc	der	_	_	_	0	_	_	_	_
_	0	0	28	144	145	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	0	29	145	157	insbesondere	insbesondere	ADV	ADV	_	_	ins-be-son-de-re	_	_	_	0	_	_	_	_
_	0	0	30	158	169	historische	historisch	ADJ	ADJA	_	nom|pl|neut|pos	his-to-ri-sche	_	_	_	0	_	_	_	_
_	0	0	31	169	170	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	0	0	32	171	179	Novellen	Novelle	NN	NN	_	dat|pl|*	No-vel-len	_	_	_	0	_	_	_	_
_	0	0	33	179	180	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	34	181	187	Romane	Roman	NN	NN	_	nom|sg|*	Ro-ma-ne	_	_	_	0	_	_	_	_
_	0	0	35	188	191	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	0	36	192	197	Lyrik	Lyrik	NN	NN	_	nom|sg|*	Ly-rik	_	_	_	0	_	_	_	_
_	0	0	37	198	208	geschaffen	schaffen	V	VVPP	_	_	ge-schaf-fen	_	_	_	0	_	_	_	_
_	0	0	38	209	212	hat	haben	V	VAFIN	_	sg|3|pres|ind	hat	_	_	_	0	_	_	_	_
_	0	0	39	212	213	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	1	40	214	216	Er	er	PR	PPER	_	nom|sg|masc|3	Er	_	_	_	0	_	_	_	_
_	0	1	41	217	223	gehört	gehören	V	VVFIN	_	sg|3|pres|ind	ge-hört	_	_	_	0	_	_	_	_
_	0	1	42	224	227	mit	mit	PP	APPR	_	_	mit	_	_	_	0	_	_	_	_
