SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	5	Ernst	ernst	NP	NE	_	nom|sg|masc	Ernst	_	_	B-PER	0	_	_	_	_
_	0	0	1	6	11	Jandl	Jandl	NP	NE	_	nom|sg|masc	Jandl	_	_	I-PER	0	_	_	_	_
_	0	0	2	12	13	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	0	3	13	14	*	--	PP	APPR	_	_	*	_	_	_	0	_	_	_	_
_	0	0	4	15	17	1.	1.	ADJ	ADJA	_	_	1.	_	_	_	0	_	_	_	_
_	0	0	5	18	24	August	August	NN	NN	_	*|sg|masc	Au-gust	_	_	_	0	_	_	_	_
_	0	0	6	25	29	1925	1925	CARD	CARD	_	_	1925	_	_	_	0	_	_	_	_
_	0	0	7	30	32	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	8	33	37	Wien	Wien	NP	NE	_	dat|sg|neut	Wien	_	_	B-LOC	0	_	_	_	_
_	0	0	9	37	38	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	10	39	40	†	†	PP	APPRART	_	_	†	_	_	_	0	_	_	_	_
_	0	0	11	41	43	9.	9.	ADJ	ADJA	_	_	9.	_	_	_	0	_	_	_	_
_	0	0	12	44	48	Juni	Juni	NN	NN	_	_	Ju-ni	_	_	_	0	_	_	_	_
_	0	0	13	49	53	2000	2000	CARD	CARD	_	_	2000	_	_	_	0	_	_	_	_
_	0	0	14	54	56	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	15	57	61	Wien	Wien	NP	NE	_	dat|sg|neut	Wien	_	_	B-LOC	0	_	_	_	_
_	0	0	16	61	62	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	0	0	17	63	66	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	0	18	67	70	ein	ein	ART	ART	_	nom|sg|masc	ein	_	_	_	0	_	_	_	_
_	0	0	19	71	87	österreichischer	österreichisch	ADJ	ADJA	_	nom|sg|masc|pos	ös-ter-rei-chi-scher	_	_	_	0	_	_	_	_
_	0	0	20	88	95	Dichter	Dichter	NN	NN	_	nom|sg|masc	Dich-ter	_	_	_	0	_	_	_	_
_	0	0	21	96	99	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	0	22	100	114	Schriftsteller	Schriftsteller	NN	NN	_	nom|sg|masc	Schrift-stel-ler	_	_	_	0	_	_	_	_
_	0	0	23	114	115	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	1	24	116	121	Jandl	Jandl	NP	NE	_	_	Jandl	_	_	_	0	_	_	_	_
_	0	1	25	122	127	wurde	werden	V	VAFIN	_	sg|3|past|ind	wur-de	_	_	_	0	_	_	_	_
_	0	1	26	128	131	vor	vor	PP	APPR	_	_	vor	_	_	_	0	_	_	_	_
_	0	1	27	132	137	allem	alle	PR	PIS	_	dat|sg|neut	al-lem	_	_	_	0	_	_	_	_
_	0	1	28	138	143	durch	durch	PP	APPR	_	_	durch	_	_	_	0	_	_	_	_
_	0	1	29	144	149	seine	sein	PR	PPOSAT	_	acc|sg|fem	sei-ne	_	_	_	0	_	_	_	_
_	0	1	30	150	164	experimentelle	experimentell	ADJ	ADJA	_	acc|sg|fem|pos	ex-pe-ri-men-tel-le	_	_	_	0	_	_	_	_
_	0	1	31	165	170	Lyrik	Lyrik	NN	NN	_	acc|sg|fem	Ly-rik	_	_	_	0	_	_	_	_
_	0	1	32	171	173	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	1	33	174	177	der	der	ART	ART	_	dat|sg|fem	der	_	_	_	0	_	_	_	_
_	0	1	34	178	187	Tradition	Tradition	NN	NN	_	dat|sg|fem	Tra-di-ti-on	_	_	_	0	_	_	_	_
_	0	1	35	188	191	der	der	ART	ART	_	gen|pl|masc	der	_	_	_	0	_	_	_	_
