SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	9	Friedrich	Friedrich	NP	NE	_	nom|sg|masc	Fried-rich	_	_	B-PER	0	_	_	_	_
_	0	0	1	10	17	Wilhelm	Wilhelm	NP	NE	_	nom|sg|masc	Wil-helm	_	_	I-PER	0	_	_	_	_
_	0	0	2	18	27	Nietzsche	Nietzsche	NP	NE	_	nom|sg|masc|pos	Nietz-sche	_	_	I-PER	0	_	_	_	_
_	0	0	3	28	29	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	0	4	29	30	*	--	O	XY	_	_	*	_	_	_	0	_	_	_	_
_	0	0	5	31	34	15.	15.	ADJ	ADJA	_	_	15.	_	_	_	0	_	_	_	_
_	0	0	6	35	42	Oktober	Oktober	NN	NN	_	dat|sg|masc	Ok-to-ber	_	_	_	0	_	_	_	_
_	0	0	7	43	47	1844	1844	CARD	CARD	_	_	1844	_	_	_	0	_	_	_	_
_	0	0	8	48	50	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	9	51	57	Röcken	Röcken	NN	NN	_	_	Rö-cken	_	_	_	0	_	_	_	_
_	0	0	10	57	58	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	11	59	60	†	†	CARD	CARD	_	_	†	_	_	_	0	_	_	_	_
_	0	0	12	61	64	25.	25.	ADJ	ADJA	_	*|sg|masc|pos	25.	_	_	_	0	_	_	_	_
_	0	0	13	65	71	August	August	NN	NN	_	*|sg|masc	Au-gust	_	_	_	0	_	_	_	_
_	0	0	14	72	76	1900	1900	CARD	CARD	_	_	1900	_	_	_	0	_	_	_	_
_	0	0	15	77	79	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	16	80	86	Weimar	Weimar	NP	NE	_	dat|sg|neut	Wei-mar	_	_	B-LOC	0	_	_	_	_
_	0	0	17	86	87	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	0	0	18	88	91	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	0	19	92	95	ein	ein	ART	ART	_	nom|sg|masc	ein	_	_	_	0	_	_	_	_
_	0	0	20	96	105	deutscher	deutsch	ADJ	ADJA	_	nom|sg|masc|pos	deut-scher	_	_	B-MISC	0	_	_	_	_
_	0	0	21	106	117	klassischer	klassisch	ADJ	ADJA	_	nom|sg|masc|pos	klas-si-scher	_	_	I-MISC	0	_	_	_	_
_	0	0	22	118	127	Philologe	Philologe	NN	NN	_	nom|sg|masc	Phi-lo-lo-ge	_	_	_	0	_	_	_	_
_	0	0	23	127	128	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	1	24	129	133	Erst	erst	ADV	ADV	_	_	Erst	_	_	_	0	_	_	_	_
_	0	1	25	134	140	postum	postum	ADJ	ADJD	_	_	pos-tum	_	_	_	0	_	_	_	_
_	0	1	26	141	148	machten	machen	V	VVFIN	_	pl|3|past|ind	mach-ten	_	_	_	0	_	_	_	_
_	0	1	27	149	152	ihn	ihn	PR	PPER	_	acc|sg|masc|3	ihn	_	_	_	0	_	_	_	_
_	0	1	28	153	158	seine	sein	PR	PPOSAT	_	nom|pl|masc	sei-ne	_	_	_	0	_	_	_	_
_	0	1	29	159	168	Schriften	Schrift	NN	NN	_	nom|pl|masc	Schrif-ten	_	_	_	0	_	_	_	_
_	0	1	30	169	172	als	als	PP	APPR	_	_	als	_	_	_	0	_	_	_	_
_	0	1	31	173	184	Philosophen	Philosoph	NN	NN	_	nom|pl|masc	Phi-lo-so-phen	_	_	_	0	_	_	_	_
_	0	1	32	185	196	weltberühmt	weltberühmt	ADJ	ADJD	_	pos	welt-be-rühmt	_	_	_	0	_	_	_	_
_	0	1	33	196	197	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	2	34	198	200	Im	in	PP	APPRART	_	dat|sg|neut	Im	_	_	_	0	_	_	_	_
_	0	2	35	201	210	Nebenwerk	Nebenwerk	NN	NN	_	dat|sg|neut	Ne-ben-werk	_	_	_	0	_	_	_	_
_	0	2	36	211	216	schuf	schaffen	V	VVFIN	_	sg|3|past|ind	schuf	_	_	_	0	_	_	_	_
_	0	2	37	217	219	er	er	PR	PPER	_	nom|sg|masc|3	er	_	_	_	0	_	_	_	_
_	0	2	38	220	230	Dichtungen	Dichtung	NN	NN	_	acc|pl|fem	Dich-tun-gen	_	_	_	0	_	_	_	_
_	0	2	39	231	234	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	2	40	235	247	musikalische	musikalisch	ADJ	ADJA	_	acc|pl|fem|pos	mu-si-ka-li-sche	_	_	_	0	_	_	_	_
_	0	2	41	248	261	Kompositionen	Komposition	NN	NN	_	acc|pl|fem	Kom-po-si-tio-nen	_	_	_	0	_	_	_	_
_	0	2	42	261	262	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	3	43	263	275	Ursprünglich	ursprünglich	ADJ	ADJD	_	pos	Ur-sprüng-lich	_	_	_	0	_	_	_	_
_	0	3	44	276	287	preußischer	preußisch	ADJ	ADJA	_	gen|pl|masc|pos	preu-ßi-scher	_	_	_	0	_	_	_	_
_	0	3	45	288	300	Staatsbürger	Staatsbürger	NN	NN	_	gen|pl|masc	Staats-bür-ger	_	_	_	0	_	_	_	_
_	0	3	46	300	301	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	3	47	302	305	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	3	48	306	308	er	er	PR	PPER	_	nom|sg|masc|3	er	_	_	_	0	_	_	_	_
_	0	3	49	309	313	seit	seit	PP	APPR	_	_	seit	_	_	_	0	_	_	_	_
_	0	3	50	314	320	seiner	sein	PR	PPOSAT	_	dat|sg|fem	sei-ner	_	_	_	0	_	_	_	_
_	0	3	51	321	333	Übersiedlung	Übersiedlung	NN	NN	_	dat|sg|fem	Über-sied-lung	_	_	_	0	_	_	_	_
_	0	3	52	334	338	nach	nach	PP	APPR	_	_	nach	_	_	_	0	_	_	_	_
_	0	3	53	339	344	Basel	Basel	NN	NN	_	dat|sg|neut	Ba-sel	_	_	B-LOC	0	_	_	_	_
_	0	3	54	345	349	1869	1869	CARD	CARD	_	_	1869	_	_	_	0	_	_	_	_
_	0	3	55	350	360	staatenlos	staatenlos	ADJ	ADJD	_	pos	staa-ten-los	_	_	_	0	_	_	_	_
_	0	3	56	360	361	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	4	57	362	364	Im	in	PP	APPRART	_	dat|sg|neut	Im	_	_	_	0	_	_	_	_
_	0	4	58	365	370	Alter	Alter	NN	NN	_	dat|sg|neut	Al-ter	_	_	_	0	_	_	_	_
_	0	4	59	371	374	von	von	PP	APPR	_	_	von	_	_	_	0	_	_	_	_
_	0	4	60	375	377	24	24	CARD	CARD	_	_	24	_	_	_	0	_	_	_	_
_	0	4	61	378	384	Jahren	Jahr	NN	NN	_	dat|pl|neut	Jah-ren	_	_	_	0	_	_	_	_
_	0	4	62	385	390	wurde	werden	V	VAFIN	_	sg|3|past|ind	wur-de	_	_	_	0	_	_	_	_
_	0	4	63	391	400	Nietzsche	Nietzsche	NP	NE	_	nom|sg|*	Nietz-sche	_	_	B-PER	0	_	_	_	_
_	0	4	64	401	412	unmittelbar	unmittelbar	ADJ	ADJD	_	pos	un-mit-tel-bar	_	_	_	0	_	_	_	_
_	0	4	65	413	415	im	in	PP	APPRART	_	dat|sg|masc	im	_	_	_	0	_	_	_	_
_	0	4	66	416	425	Anschluss	Anschluss	NN	NN	_	dat|sg|masc	An-schluss	_	_	_	0	_	_	_	_
_	0	4	67	426	428	an	an	PP	APPR	_	_	an	_	_	_	0	_	_	_	_
_	0	4	68	429	433	sein	sein	PR	PPOSAT	_	acc|sg|neut	sein	_	_	_	0	_	_	_	_
_	0	4	69	434	441	Studium	Studium	NN	NN	_	acc|sg|neut	Stu-di-um	_	_	_	0	_	_	_	_
_	0	4	70	442	451	Professor	Professor	NN	NN	_	nom|sg|masc	Pro-fes-sor	_	_	_	0	_	_	_	_
_	0	4	71	452	455	für	für	PP	APPR	_	_	für	_	_	_	0	_	_	_	_
_	0	4	72	456	466	klassische	klassisch	ADJ	ADJA	_	acc|sg|fem|pos	klas-si-sche	_	_	_	0	_	_	_	_
_	0	4	73	467	477	Philologie	Philologie	NN	NN	_	acc|sg|fem	Phi-lo-lo-gie	_	_	_	0	_	_	_	_
_	0	4	74	478	480	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	4	75	481	486	Basel	Basel	NP	NE	_	dat|sg|neut	Ba-sel	_	_	B-LOC	0	_	_	_	_
_	0	4	76	486	487	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	5	77	488	495	Bereits	bereits	ADV	ADV	_	_	Be-reits	_	_	_	0	_	_	_	_
_	0	5	78	496	500	zehn	zehn	CARD	CARD	_	_	zehn	_	_	_	0	_	_	_	_
_	0	5	79	501	506	Jahre	Jahr	NN	NN	_	acc|pl|neut	Jah-re	_	_	_	0	_	_	_	_
_	0	5	80	507	513	später	spät	ADJ	ADJD	_	comp	spä-ter	_	_	_	0	_	_	_	_
_	0	5	81	514	519	legte	legen	V	VVFIN	_	sg|3|past|ind	leg-te	_	_	_	0	_	_	_	_
_	0	5	82	520	522	er	er	PR	PPER	_	nom|sg|masc|3	er	_	_	_	0	_	_	_	_
_	0	5	83	523	527	1879	1879	CARD	CARD	_	_	1879	_	_	_	0	_	_	_	_
_	0	5	84	528	531	aus	aus	PP	APPR	_	_	aus	_	_	_	0	_	_	_	_
_	0	5	85	532	548	gesundheitlichen	gesundheitlich	ADJ	ADJA	_	dat|pl|masc	ge-sund-heit-li-chen	_	_	_	0	_	_	_	_
_	0	5	86	549	556	Gründen	Grund	NN	NN	_	dat|pl|masc	Grün-den	_	_	_	0	_	_	_	_
_	0	5	87	557	560	die	der	ART	ART	_	acc|sg|fem	die	_	_	_	0	_	_	_	_
_	0	5	88	561	570	Professur	Professur	NN	NN	_	acc|sg|fem	Pro-fes-sur	_	_	_	0	_	_	_	_
_	0	5	89	571	577	nieder	nieder	V	PTKVZ	_	_	nie-der	_	_	_	0	_	_	_	_
_	0	5	90	577	578	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	6	91	579	582	Von	von	PP	APPR	_	_	Von	_	_	_	0	_	_	_	_
_	0	6	92	583	586	nun	nun	ADV	ADV	_	_	nun	_	_	_	0	_	_	_	_
_	0	6	93	587	589	an	an	PP	APZR	_	_	an	_	_	_	0	_	_	_	_
_	0	6	94	590	598	bereiste	bereisen	V	VVFIN	_	sg|3|past|ind	be-reis-te	_	_	_	0	_	_	_	_
_	0	6	95	599	601	er	er	PR	PPER	_	nom|sg|masc|3	er	_	_	_	0	_	_	_	_
_	0	6	96	602	603	–	–	NN	NN	_	acc|sg|3	–	_	_	_	0	_	_	_	_
_	0	6	97	604	607	auf	auf	PP	APPR	_	_	auf	_	_	_	0	_	_	_	_
_	0	6	98	608	611	der	der	ART	ART	_	dat|sg|fem	der	_	_	_	0	_	_	_	_
_	0	6	99	612	617	Suche	Suche	NN	NN	_	dat|sg|fem	Su-che	_	_	_	0	_	_	_	_
_	0	6	100	618	622	nach	nach	PP	APPR	_	_	nach	_	_	_	0	_	_	_	_
_	0	6	101	623	628	Orten	Ort	NN	NN	_	dat|pl|masc	Or-ten	_	_	_	0	_	_	_	_
_	0	6	102	628	629	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	6	103	630	635	deren	der	PR	PRELAT	_	gen|sg|fem	de-ren	_	_	_	0	_	_	_	_
_	0	6	104	636	641	Klima	Klima	NN	NN	_	gen|sg|fem	Kli-ma	_	_	_	0	_	_	_	_
_	0	6	105	642	646	sich	sich	PR	PRF	_	acc|sg|3	sich	_	_	_	0	_	_	_	_
_	0	6	106	647	654	günstig	günstig	ADJ	ADJD	_	pos	güns-tig	_	_	_	0	_	_	_	_
_	0	6	107	655	658	auf	auf	PP	APPR	_	_	auf	_	_	_	0	_	_	_	_
_	0	6	108	659	664	seine	sein	PR	PPOSAT	_	_	sei-ne	_	_	_	0	_	_	_	_
_	0	6	109	665	672	Migräne	Migran	NN	NN	_	acc|pl|masc	Mi-grä-ne	_	_	_	0	_	_	_	_
_	0	6	110	673	676	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	6	111	677	688	Magenleiden	Magenleiden	NN	NN	_	acc|pl|fem	Ma-gen-lei-den	_	_	_	0	_	_	_	_
_	0	6	112	689	698	auswirken	auswirken	V	VVINF	_	_	aus-wir-ken	_	_	_	0	_	_	_	_
_	0	6	113	699	705	sollte	sollen	V	VMFIN	_	sg|3|past|ind	soll-te	_	_	_	0	_	_	_	_
_	0	6	114	706	707	–	–	O	XY	_	nom|sg|neut	–	_	_	_	0	_	_	_	_
_	0	6	115	708	718	Frankreich	Frankreich	NP	NE	_	nom|sg|neut	Frank-reich	_	_	B-LOC	0	_	_	_	_
_	0	6	116	718	719	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	6	117	720	727	Italien	Italien	NP	NE	_	nom|sg|neut	Ita-li-en	_	_	B-LOC	0	_	_	_	_
_	0	6	118	727	728	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	6	119	729	740	Deutschland	Deutschland	NP	NE	_	nom|sg|neut	Deutsch-land	_	_	B-LOC	0	_	_	_	_
_	0	6	120	741	744	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	6	121	745	748	die	der	ART	ART	_	nom|sg|fem	die	_	_	_	0	_	_	_	_
_	0	6	122	749	756	Schweiz	Schweiz	NP	NE	_	nom|sg|fem	Schweiz	_	_	_	0	_	_	_	_
_	0	6	123	756	757	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	7	124	758	760	Ab	ab	PP	APPR	_	_	Ab	_	_	_	0	_	_	_	_
_	0	7	125	761	767	seinem	sein	PR	PPOSAT	_	dat|sg|masc	sei-nem	_	_	_	0	_	_	_	_
_	0	7	126	768	770	45	45	CARD	CARD	_	_	45	_	_	_	0	_	_	_	_
_	0	7	127	770	771	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	8	128	772	782	Lebensjahr	Lebensjahr	NN	NN	_	_	Le-bens-jahr	_	_	_	0	_	_	_	_
_	0	8	129	783	784	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	8	130	784	788	1889	1889	CARD	CARD	_	_	1889	_	_	_	0	_	_	_	_
_	0	8	131	788	789	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	0	8	132	790	794	litt	leiden	V	VVFIN	_	sg|3|past|ind	litt	_	_	_	0	_	_	_	_
_	0	8	133	795	797	er	er	PR	PPER	_	nom|sg|masc|3	er	_	_	_	0	_	_	_	_
_	0	8	134	798	803	unter	unter	PP	APPR	_	_	un-ter	_	_	_	0	_	_	_	_
_	0	8	135	804	809	einer	ein	ART	ART	_	dat|sg|fem	ei-ner	_	_	_	0	_	_	_	_
_	0	8	136	810	818	schweren	schwer	ADJ	ADJA	_	dat|sg|fem|pos	schwe-ren	_	_	_	0	_	_	_	_
_	0	8	137	819	830	psychischen	psychisch	ADJ	ADJA	_	dat|sg|fem|pos	psy-chi-schen	_	_	_	0	_	_	_	_
_	0	8	138	831	840	Krankheit	Krankheit	NN	NN	_	dat|sg|fem	Krank-heit	_	_	_	0	_	_	_	_
_	0	8	139	840	841	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	8	140	842	845	die	der	PR	PRELS	_	nom|sg|fem	die	_	_	_	0	_	_	_	_
_	0	8	141	846	849	ihn	ihn	PR	PPER	_	acc|sg|masc|3	ihn	_	_	_	0	_	_	_	_
_	0	8	142	850	858	arbeits-	arbeit	O	TRUNC	_	_	ar-beits-​	_	_	_	0	_	_	_	_
_	0	8	143	859	862	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	8	144	863	879	geschäftsunfähig	geschäftsunfähig	ADJ	ADJD	_	pos	ge-schäfts-un-fä-hig	_	_	_	0	_	_	_	_
_	0	8	145	880	886	machte	machen	V	VVFIN	_	sg|3|past|ind	mach-te	_	_	_	0	_	_	_	_
_	0	8	146	886	887	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	9	147	888	894	Seinen	sein	PR	PPOSAT	_	acc|sg|masc	Sei-nen	_	_	_	0	_	_	_	_
_	0	9	148	895	901	Anfang	Anfang	NN	NN	_	acc|sg|masc	An-fang	_	_	_	0	_	_	_	_
_	0	9	149	902	905	der	der	ART	ART	_	gen|pl|neut	der	_	_	_	0	_	_	_	_
_	0	9	150	906	912	1890er	1890er	ADJ	ADJA	_	gen|pl|neut	1890er	_	_	_	0	_	_	_	_
_	0	9	151	913	918	Jahre	Jahr	NN	NN	_	gen|pl|neut	Jah-re	_	_	_	0	_	_	_	_
_	0	9	152	919	924	rasch	rasch	ADJ	ADJD	_	pos	rasch	_	_	_	0	_	_	_	_
_	0	9	153	925	937	einsetzenden	einsetzend	ADJ	ADJA	_	acc|sg|masc|pos	ein-set-zen-den	_	_	_	0	_	_	_	_
_	0	9	154	938	942	Ruhm	Ruhm	NN	NN	_	acc|sg|masc	Ruhm	_	_	_	0	_	_	_	_
_	0	9	155	943	946	hat	haben	V	VAFIN	_	sg|3|pres|ind	hat	_	_	_	0	_	_	_	_
_	0	9	156	947	949	er	er	PR	PPER	_	nom|sg|masc|3	er	_	_	_	0	_	_	_	_
_	0	9	157	950	957	deshalb	deshalb	ADV	PROAV	_	_	des-halb	_	_	_	0	_	_	_	_
_	0	9	158	958	963	nicht	nicht	O	PTKNEG	_	_	nicht	_	_	_	0	_	_	_	_
_	0	9	159	964	968	mehr	mehr	ADV	ADV	_	_	mehr	_	_	_	0	_	_	_	_
_	0	9	160	969	976	bewusst	bewusst	ADJ	ADJD	_	_	be-wusst	_	_	_	0	_	_	_	_
_	0	9	161	977	983	erlebt	erleben	V	VVPP	_	_	er-lebt	_	_	_	0	_	_	_	_
_	0	9	162	983	984	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	10	163	985	987	Er	er	PR	PPER	_	nom|sg|masc|3	Er	_	_	_	0	_	_	_	_
_	0	10	164	988	998	verbrachte	verbringen	V	VVFIN	_	sg|3|past|ind	ver-brach-te	_	_	_	0	_	_	_	_
_	0	10	165	999	1002	den	der	ART	ART	_	acc|sg|masc	den	_	_	_	0	_	_	_	_
_	0	10	166	1003	1007	Rest	Rest	NN	NN	_	acc|sg|masc	Rest	_	_	_	0	_	_	_	_
_	0	10	167	1008	1014	seines	sein	PR	PPOSAT	_	gen|sg|neut	sei-nes	_	_	_	0	_	_	_	_
_	0	10	168	1015	1021	Lebens	Leben	NN	NN	_	gen|sg|neut	Le-bens	_	_	_	0	_	_	_	_
_	0	10	169	1022	1025	als	als	PP	APPR	_	_	als	_	_	_	0	_	_	_	_
_	0	10	170	1026	1036	Pflegefall	Pflegefall	NN	NN	_	nom|sg|masc	Pfle-ge-fall	_	_	_	0	_	_	_	_
_	0	10	171	1037	1039	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	10	172	1040	1043	der	der	ART	ART	_	dat|sg|fem	der	_	_	_	0	_	_	_	_
_	0	10	173	1044	1049	Obhut	Obhut	NN	NN	_	dat|sg|fem	Ob-hut	_	_	_	0	_	_	_	_
_	0	10	174	1050	1058	zunächst	zunächst	ADV	ADV	_	_	zu-nächst	_	_	_	0	_	_	_	_
