SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	5	Georg	Georg	NP	NE	_	_	Ge-org	_	_	B-PER	0	_	_	_	_
_	0	0	1	6	10	Heym	Heym	NP	NE	_	_	Heym	_	_	I-PER	0	_	_	_	_
_	0	0	2	11	12	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	0	3	12	13	*	--	O	XY	_	_	*	_	_	_	0	_	_	_	_
_	0	0	4	14	17	30.	30.	ADJ	ADJA	_	_	30.	_	_	_	0	_	_	_	_
_	0	0	5	18	25	Oktober	Oktober	NN	NN	_	dat|sg|masc	Ok-to-ber	_	_	_	0	_	_	_	_
_	0	0	6	26	30	1887	1887	CARD	CARD	_	_	1887	_	_	_	0	_	_	_	_
_	0	0	7	31	33	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	8	34	44	Hirschberg	Hirschberg	NP	NE	_	dat|sg|neut	Hirsch-berg	_	_	B-LOC	0	_	_	_	_
_	0	0	9	44	45	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	10	46	55	Schlesien	Schlesien	NP	NE	_	dat|sg|neut	Schle-si-en	_	_	B-LOC	0	_	_	_	_
_	0	0	11	55	56	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	12	57	58	†	†	PP	APPRART	_	_	†	_	_	_	0	_	_	_	_
_	0	0	13	59	62	16.	16.	ADJ	ADJA	_	dat|sg|masc|pos	16.	_	_	_	0	_	_	_	_
_	0	0	14	63	69	Januar	Januar	NN	NN	_	dat|sg|masc	Ja-nu-ar	_	_	_	0	_	_	_	_
_	0	0	15	70	74	1912	1912	CARD	CARD	_	_	1912	_	_	_	0	_	_	_	_
_	0	0	16	75	77	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	17	78	83	Gatow	Gatow	NP	NE	_	dat|sg|neut	Gatow	_	_	B-LOC	0	_	_	_	_
_	0	0	18	83	84	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	0	0	19	85	88	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	0	20	89	92	ein	ein	ART	ART	_	nom|sg|masc	ein	_	_	_	0	_	_	_	_
_	0	0	21	93	102	deutscher	deutsch	ADJ	ADJA	_	nom|sg|masc|pos	deut-scher	_	_	B-MISC	0	_	_	_	_
_	0	0	22	103	117	Schriftsteller	Schriftsteller	NN	NN	_	nom|sg|masc	Schrift-stel-ler	_	_	_	0	_	_	_	_
_	0	0	23	117	118	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	1	24	119	121	Er	er	PR	PPER	_	nom|sg|masc|3	Er	_	_	_	0	_	_	_	_
_	0	1	25	122	126	gilt	gelten	V	VVFIN	_	sg|3|pres|ind	gilt	_	_	_	0	_	_	_	_
_	0	1	26	127	130	als	als	PP	APPR	_	_	als	_	_	_	0	_	_	_	_
_	0	1	27	131	136	einer	einer	PR	PIS	_	nom|sg|masc	ei-ner	_	_	_	0	_	_	_	_
_	0	1	28	137	140	der	der	ART	ART	_	gen|pl|masc	der	_	_	_	0	_	_	_	_
_	0	1	29	141	152	wichtigsten	wichtig	ADJ	ADJA	_	gen|pl|masc|sup	wich-tigs-ten	_	_	_	0	_	_	_	_
_	0	1	30	153	160	Lyriker	Lyriker	NN	NN	_	gen|pl|masc	Ly-ri-ker	_	_	_	0	_	_	_	_
_	0	1	31	161	164	des	der	ART	ART	_	gen|sg|masc	des	_	_	_	0	_	_	_	_
_	0	1	32	165	171	frühen	früh	ADJ	ADJA	_	_	frü-hen	_	_	_	0	_	_	_	_
_	0	1	33	172	185	literarischen	literarisch	ADJ	ADJA	_	gen|sg|masc|pos	li-te-ra-ri-schen	_	_	_	0	_	_	_	_
_	0	1	34	186	201	Expressionismus	Expressionismus	NN	NN	_	gen|sg|masc	Ex-pres-sio-nis-mus	_	_	_	0	_	_	_	_
_	0	1	35	201	202	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	1	2	36	205	207	==	==	PP	APPR	_	_	==	_	_	_	0	_	_	_	_
_	1	2	37	208	213	Leben	Leben	NN	NN	_	_	Le-ben	_	_	_	0	_	_	_	_
_	1	2	38	214	216	==	==	NP	NE	_	_	==	_	_	_	0	_	_	_	_
_	2	4	112	219	221	==	==	O	XY	_	_	==	_	_	_	0	_	_	_	_
_	2	4	113	221	222	=	--	O	XY	_	_	=	_	_	_	0	_	_	_	_
_	2	4	114	223	230	Familie	Familie	NN	NN	_	_	Fa-mi-lie	_	_	_	0	_	_	_	_
_	2	4	115	231	233	==	==	O	XY	_	_	==	_	_	_	0	_	_	_	_
_	2	4	116	233	234	=	--	O	XY	_	_	=	_	_	_	0	_	_	_	_
_	2	4	117	235	240	Georg	Georg	NP	NE	_	_	Ge-org	_	_	B-PER	0	_	_	_	_
_	2	4	118	241	245	Heym	Heym	NP	NE	_	_	Heym	_	_	I-PER	0	_	_	_	_
_	2	4	119	246	249	war	sein	V	VAFIN	_	_	war	_	_	_	0	_	_	_	_
_	2	4	120	250	253	der	der	ART	ART	_	_	der	_	_	_	0	_	_	_	_
_	2	4	121	254	258	Sohn	Sohn	NN	NN	_	_	Sohn	_	_	_	0	_	_	_	_
_	2	4	122	259	262	des	der	ART	ART	_	_	des	_	_	_	0	_	_	_	_
_	2	4	123	263	270	Staats-	Staat	O	TRUNC	_	_	Staats-​	_	_	_	0	_	_	_	_
_	2	4	124	271	274	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	2	4	125	275	283	späteren	spät	ADJ	ADJA	_	_	spä-te-ren	_	_	_	0	_	_	_	_
_	2	4	126	284	310	Reichsmilitärstaatsanwalts	Reichsmilitärstaatsanwalt	NN	NN	_	_	Reichs-mi-li-tär-staats-an-walts	_	_	_	0	_	_	_	_
_	2	4	127	311	318	Hermann	Hermann	NP	NE	_	_	Her-mann	_	_	B-PER	0	_	_	_	_
_	2	4	128	319	323	Heym	Heym	NP	NE	_	_	Heym	_	_	I-PER	0	_	_	_	_
_	2	4	129	324	325	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	2	4	130	325	334	1850–1920	1850–1920	CARD	CARD	_	_	1850–1920	_	_	_	0	_	_	_	_
_	2	4	131	334	335	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	2	4	132	336	339	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	2	4	133	340	346	seiner	sein	PR	PPOSAT	_	_	sei-ner	_	_	_	0	_	_	_	_
_	2	4	134	347	354	Ehefrau	Ehefrau	NN	NN	_	_	Ehe-frau	_	_	_	0	_	_	_	_
_	2	4	135	355	360	Jenny	Jenny	NP	NE	_	_	Jen-ny	_	_	B-PER	0	_	_	_	_
_	2	4	136	361	365	Heym	Heym	NP	NE	_	_	Heym	_	_	I-PER	0	_	_	_	_
_	2	4	137	365	366	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	2	4	138	367	370	geb	geb	V	VVPP	_	_	geb	_	_	_	0	_	_	_	_
_	2	4	139	370	371	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	2	5	140	372	381	Taistrzik	Taistrzik	NN	NN	_	_	Tais-trzik	_	_	_	0	_	_	_	_
_	2	5	141	381	382	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	2	5	142	383	384	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	2	5	143	384	388	1850	1850	CARD	CARD	_	_	1850	_	_	_	0	_	_	_	_
_	2	5	144	388	394	?–1923	?–1923	NP	NE	_	_	?–1923	_	_	_	0	_	_	_	_
_	2	5	145	394	395	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	2	5	146	395	396	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	2	6	147	397	399	Er	er	PR	PPER	_	_	Er	_	_	_	0	_	_	_	_
_	2	6	148	400	405	hatte	haben	V	VAFIN	_	_	hat-te	_	_	_	0	_	_	_	_
_	2	6	149	406	410	eine	ein	ART	ART	_	_	ei-ne	_	_	_	0	_	_	_	_
_	2	6	150	411	420	Schwester	Schwester	NN	NN	_	_	Schwes-ter	_	_	_	0	_	_	_	_
_	2	6	151	421	428	Gertrud	Gertrud	NP	NE	_	_	Ger-trud	_	_	B-PER	0	_	_	_	_
_	2	6	152	429	430	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	2	6	153	430	439	1889–1920	1889–1920	CARD	CARD	_	_	1889–1920	_	_	_	0	_	_	_	_
_	2	6	154	439	440	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
