SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	9	Gottfried	Gottfried	NP	NE	_	nom|sg|neut	Gott-fried	_	_	B-PER	0	_	_	_	_
_	0	0	1	10	14	Benn	Benn	NP	NE	_	_	Benn	_	_	I-PER	0	_	_	_	_
_	0	0	2	15	16	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	0	3	16	17	*	--	O	XY	_	_	*	_	_	_	0	_	_	_	_
_	0	0	4	18	20	2.	2.	ADJ	ADJA	_	_	2.	_	_	_	0	_	_	_	_
_	0	0	5	21	24	Mai	Mai	NN	NN	_	_	Mai	_	_	_	0	_	_	_	_
_	0	0	6	25	29	1886	1886	CARD	CARD	_	_	1886	_	_	_	0	_	_	_	_
_	0	0	7	30	32	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	8	33	41	Mansfeld	Mansfeld	NP	NE	_	dat|sg|neut	Mans-feld	_	_	B-LOC	0	_	_	_	_
_	0	0	9	41	42	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	10	43	54	Brandenburg	Brandenburg	NP	NE	_	dat|sg|neut	Bran-den-burg	_	_	B-LOC	0	_	_	_	_
_	0	0	11	54	55	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	12	56	57	†	†	PP	APPRART	_	_	†	_	_	_	0	_	_	_	_
_	0	0	13	58	60	7.	7.	ADJ	ADJA	_	dat|sg|masc|pos	7.	_	_	_	0	_	_	_	_
_	0	0	14	61	65	Juli	Juli	NN	NN	_	dat|sg|masc	Ju-li	_	_	_	0	_	_	_	_
_	0	0	15	66	70	1956	1956	CARD	CARD	_	_	1956	_	_	_	0	_	_	_	_
_	0	0	16	71	73	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	17	74	80	Berlin	Berlin	NP	NE	_	dat|sg|neut	Ber-lin	_	_	B-LOC	0	_	_	_	_
_	0	0	18	80	81	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	0	0	19	82	85	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	0	20	86	89	ein	ein	ART	ART	_	nom|sg|masc	ein	_	_	_	0	_	_	_	_
