SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	9	Gottfried	Gottfried	NP	NE	_	nom|sg|masc	Gott-fried	_	_	B-PER	0	_	_	_	_
_	0	0	1	10	16	Keller	Keller	NP	NE	_	nom|sg|masc	Kel-ler	_	_	I-PER	0	_	_	_	_
_	0	0	2	17	18	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	0	3	18	19	*	--	PP	APPR	_	_	*	_	_	_	0	_	_	_	_
_	0	0	4	20	23	19.	19.	ADJ	ADJA	_	_	19.	_	_	_	0	_	_	_	_
_	0	0	5	24	28	Juli	Juli	NN	NN	_	_	Ju-li	_	_	_	0	_	_	_	_
_	0	0	6	29	33	1819	1819	CARD	CARD	_	_	1819	_	_	_	0	_	_	_	_
_	0	0	7	34	36	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	8	37	43	Zürich	Zürich	NP	NE	_	dat|sg|neut	Zü-rich	_	_	_	0	_	_	_	_
_	0	0	9	43	44	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	10	45	46	†	†	PP	APPRART	_	_	†	_	_	_	0	_	_	_	_
_	0	0	11	47	50	15.	15.	ADJ	ADJA	_	_	15.	_	_	_	0	_	_	_	_
_	0	0	12	51	55	Juli	Juli	NN	NN	_	_	Ju-li	_	_	_	0	_	_	_	_
_	0	0	13	56	60	1890	1890	CARD	CARD	_	_	1890	_	_	_	0	_	_	_	_
_	0	0	14	61	63	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	15	64	70	Zürich	Zürich	NP	NE	_	dat|sg|neut	Zü-rich	_	_	_	0	_	_	_	_
_	0	0	16	70	71	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	0	0	17	72	75	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	0	18	76	79	ein	ein	ART	ART	_	nom|sg|masc	ein	_	_	_	0	_	_	_	_
_	0	0	19	80	89	Schweizer	Schweizer	ADJ	ADJA	_	*|*|*|pos	Schwei-zer	_	_	B-MISC	0	_	_	_	_
_	0	0	20	90	97	Dichter	Dichter	NN	NN	_	nom|sg|masc	Dich-ter	_	_	_	0	_	_	_	_
_	0	0	21	98	101	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	0	22	102	111	Politiker	Politiker	NN	NN	_	nom|sg|masc	Po-li-ti-ker	_	_	_	0	_	_	_	_
_	0	0	23	111	112	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	1	24	113	118	Wegen	wegen	PP	APPR	_	_	We-gen	_	_	_	0	_	_	_	_
_	0	1	25	119	124	eines	ein	ART	ART	_	gen|sg|masc	ei-nes	_	_	_	0	_	_	_	_
_	0	1	26	125	140	Jugendstreiches	Jugendstreich	NN	NN	_	gen|sg|masc	Ju-gend-strei-ches	_	_	_	0	_	_	_	_
_	0	1	27	141	144	von	von	PP	APPR	_	_	von	_	_	_	0	_	_	_	_
_	0	1	28	145	148	der	der	ART	ART	_	dat|sg|fem	der	_	_	_	0	_	_	_	_
_	0	1	29	149	156	höheren	hoch	ADJ	ADJA	_	dat|sg|fem|comp	hö-he-ren	_	_	_	0	_	_	_	_
_	0	1	30	157	169	Schulbildung	Schulbildung	NN	NN	_	dat|sg|fem	Schul-bil-dung	_	_	_	0	_	_	_	_
_	0	1	31	170	184	ausgeschlossen	ausschließen	V	VVPP	_	_	aus-ge-schlos-sen	_	_	_	0	_	_	_	_
_	0	1	32	184	185	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	1	33	186	190	trat	treten	V	VVFIN	_	sg|3|past|ind	trat	_	_	_	0	_	_	_	_
_	0	1	34	191	193	er	er	PR	PPER	_	nom|sg|masc|3	er	_	_	_	0	_	_	_	_
_	0	1	35	194	198	eine	ein	ART	ART	_	acc|sg|fem	ei-ne	_	_	_	0	_	_	_	_
_	0	1	36	199	204	Lehre	Lehre	NN	NN	_	acc|sg|fem	Leh-re	_	_	_	0	_	_	_	_
_	0	1	37	205	207	an	an	V	PTKVZ	_	_	an	_	_	_	0	_	_	_	_
_	0	1	38	207	208	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	1	39	209	211	um	um	CONJ	KOUI	_	_	um	_	_	_	0	_	_	_	_
_	0	1	40	212	228	Landschaftsmaler	Landschaftsmaler	NN	NN	_	comp	Land-schafts-ma-ler	_	_	_	0	_	_	_	_
_	0	1	41	229	231	zu	zu	O	PTKZU	_	_	zu	_	_	_	0	_	_	_	_
_	0	1	42	232	238	werden	werden	V	VAINF	_	_	wer-den	_	_	_	0	_	_	_	_
_	0	1	43	238	239	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	2	44	240	242	Er	er	PR	PPER	_	nom|sg|masc|3	Er	_	_	_	0	_	_	_	_
_	0	2	45	243	253	verbrachte	verbringen	V	VVFIN	_	sg|3|past|ind	ver-brach-te	_	_	_	0	_	_	_	_
_	0	2	46	254	258	zwei	zwei	CARD	CARD	_	_	zwei	_	_	_	0	_	_	_	_
_	0	2	47	259	271	Studienjahre	Studienjahr	NN	NN	_	acc|pl|neut	Stu-di-en-jah-re	_	_	_	0	_	_	_	_
_	0	2	48	272	274	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	2	49	275	282	München	München	NP	NE	_	dat|sg|neut	Mün-chen	_	_	B-LOC	0	_	_	_	_
_	0	2	50	282	283	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	2	51	284	287	von	von	PP	APPR	_	_	von	_	_	_	0	_	_	_	_
_	0	2	52	288	290	wo	wo	PR	PWAV	_	_	wo	_	_	_	0	_	_	_	_
_	0	2	53	291	293	er	er	PR	PPER	_	nom|sg|masc|3	er	_	_	_	0	_	_	_	_
_	0	2	54	294	298	1842	1842	CARD	CARD	_	_	1842	_	_	_	0	_	_	_	_
_	0	2	55	299	308	mittellos	mittellos	ADJ	ADJD	_	pos	mit-tel-los	_	_	_	0	_	_	_	_
_	0	2	56	309	311	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	2	57	312	317	seine	sein	PR	PPOSAT	_	acc|sg|fem	sei-ne	_	_	_	0	_	_	_	_
_	0	2	58	318	328	Vaterstadt	Vaterstadt	NN	NN	_	acc|sg|fem	Va-ter-stadt	_	_	_	0	_	_	_	_
_	0	2	59	329	341	zurückkehrte	zurückkehren	V	VVFIN	_	sg|3|past|ind	zu-rück-kehr-te	_	_	_	0	_	_	_	_
_	0	2	60	341	342	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	3	61	343	348	Unter	unter	PP	APPR	_	_	Un-ter	_	_	_	0	_	_	_	_
_	0	3	62	349	352	dem	der	ART	ART	_	dat|sg|masc	dem	_	_	_	0	_	_	_	_
_	0	3	63	353	361	Eindruck	Eindruck	NN	NN	_	dat|sg|masc	Ein-druck	_	_	_	0	_	_	_	_
_	0	3	64	362	365	der	der	ART	ART	_	gen|sg|fem	der	_	_	_	0	_	_	_	_
_	0	3	65	366	377	politischen	politisch	ADJ	ADJA	_	gen|sg|fem|pos	po-li-ti-schen	_	_	_	0	_	_	_	_
_	0	3	66	378	383	Lyrik	Lyrik	NN	NN	_	gen|sg|fem	Ly-rik	_	_	_	0	_	_	_	_
_	0	3	67	384	387	des	der	ART	ART	_	gen|sg|masc	des	_	_	_	0	_	_	_	_
_	0	3	68	388	395	Vormärz	Vormärz	NN	NN	_	gen|sg|masc	Vor-märz	_	_	_	0	_	_	_	_
_	0	3	69	396	405	entdeckte	entdecken	V	VVFIN	_	sg|3|past|ind	ent-deck-te	_	_	_	0	_	_	_	_
_	0	3	70	406	408	er	er	PR	PPER	_	nom|sg|masc|3	er	_	_	_	0	_	_	_	_
_	0	3	71	409	413	sein	sein	PR	PPOSAT	_	acc|sg|neut	sein	_	_	_	0	_	_	_	_
_	0	3	72	414	427	dichterisches	dichterisch	ADJ	ADJA	_	acc|sg|neut|pos	dich-te-ri-sches	_	_	_	0	_	_	_	_
_	0	3	73	428	434	Talent	Talent	NN	NN	_	acc|sg|neut	Ta-lent	_	_	_	0	_	_	_	_
_	0	3	74	434	435	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	4	75	436	439	Zur	zu	PP	APPRART	_	dat|sg|fem	Zur	_	_	_	0	_	_	_	_
_	0	4	76	440	448	gleichen	gleich	ADJ	ADJA	_	dat|sg|fem	glei-chen	_	_	_	0	_	_	_	_
_	0	4	77	449	453	Zeit	Zeit	NN	NN	_	acc|sg|fem	Zeit	_	_	_	0	_	_	_	_
_	0	4	78	454	464	beteiligte	beteiligen	V	VVFIN	_	sg|3|past|ind	be-tei-lig-te	_	_	_	0	_	_	_	_
_	0	4	79	465	467	er	er	PR	PPER	_	nom|sg|masc|3	er	_	_	_	0	_	_	_	_
_	0	4	80	468	472	sich	sich	PR	PRF	_	acc|sg|3	sich	_	_	_	0	_	_	_	_
_	0	4	81	473	475	an	an	PP	APPR	_	_	an	_	_	_	0	_	_	_	_
_	0	4	82	476	479	der	der	ART	ART	_	dat|sg|fem	der	_	_	_	0	_	_	_	_
_	0	4	83	480	490	militanten	militant	ADJ	ADJA	_	dat|sg|fem|pos	mi-li-tan-ten	_	_	_	0	_	_	_	_
_	0	4	84	491	499	Bewegung	Bewegung	NN	NN	_	dat|sg|fem	Be-we-gung	_	_	_	0	_	_	_	_
_	0	4	85	499	500	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	4	86	501	504	die	der	PR	PRELS	_	nom|sg|fem	die	_	_	_	0	_	_	_	_
_	0	4	87	505	509	1848	1848	CARD	CARD	_	_	1848	_	_	_	0	_	_	_	_
_	0	4	88	510	513	zur	zu	PP	APPRART	_	dat|sg|fem	zur	_	_	_	0	_	_	_	_
_	0	4	89	514	525	staatlichen	staatlich	ADJ	ADJA	_	dat|sg|fem|pos	staat-li-chen	_	_	_	0	_	_	_	_
_	0	4	90	526	536	Neuordnung	Neuordnung	NN	NN	_	dat|sg|fem	Neu-ord-nung	_	_	_	0	_	_	_	_
