SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	8	Gotthold	Gotthold	NP	NE	_	_	Gott-hold	_	_	B-PER	0	_	_	_	_
_	0	0	1	9	16	Ephraim	Ephraim	NP	NE	_	*|*|*	Ephraim	_	_	I-PER	0	_	_	_	_
_	0	0	2	17	24	Lessing	Lessing	NP	NE	_	dat|sg|*	Les-sing	_	_	I-PER	0	_	_	_	_
_	0	0	3	25	26	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	0	4	26	27	*	--	O	XY	_	_	*	_	_	_	0	_	_	_	_
_	0	0	5	28	31	22.	22.	ADJ	ADJA	_	_	22.	_	_	_	0	_	_	_	_
_	0	0	6	32	38	Januar	Januar	NN	NN	_	dat|sg|masc	Ja-nu-ar	_	_	_	0	_	_	_	_
_	0	0	7	39	43	1729	1729	CARD	CARD	_	_	1729	_	_	_	0	_	_	_	_
_	0	0	8	44	46	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	9	47	53	Kamenz	Kamenz	NN	NN	_	dat|sg|fem	Ka-menz	_	_	B-LOC	0	_	_	_	_
_	0	0	10	53	54	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	11	55	66	Markgraftum	Markgraftum	NN	NN	_	acc|sg|masc	Mark-graftum	_	_	B-LOC	0	_	_	_	_
_	0	0	12	67	78	Oberlausitz	Oberlausitz	NP	NE	_	acc|sg|masc	Ober-lau-sitz	_	_	I-LOC	0	_	_	_	_
_	0	0	13	78	79	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	14	80	81	†	†	PP	APPRART	_	_	†	_	_	_	0	_	_	_	_
_	0	0	15	82	85	15.	15.	ADJ	ADJA	_	dat|sg|masc|pos	15.	_	_	_	0	_	_	_	_
_	0	0	16	86	93	Februar	Februar	NN	NN	_	dat|sg|masc	Fe-bru-ar	_	_	_	0	_	_	_	_
_	0	0	17	94	98	1781	1781	CARD	CARD	_	_	1781	_	_	_	0	_	_	_	_
_	0	0	18	99	101	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	19	102	114	Braunschweig	Braunschweig	NP	NE	_	dat|sg|neut	Braun-schweig	_	_	B-LOC	0	_	_	_	_
_	0	0	20	114	115	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	0	0	21	116	119	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	0	22	120	123	ein	ein	ART	ART	_	nom|sg|masc	ein	_	_	_	0	_	_	_	_
_	0	0	23	124	135	bedeutender	bedeutend	ADJ	ADJA	_	nom|sg|masc|pos	be-deu-ten-der	_	_	_	0	_	_	_	_
_	0	0	24	136	143	Dichter	Dichter	NN	NN	_	nom|sg|masc	Dich-ter	_	_	_	0	_	_	_	_
_	0	0	25	144	147	der	der	ART	ART	_	dat|sg|fem	der	_	_	_	0	_	_	_	_
_	0	0	26	148	157	deutschen	deutsch	ADJ	ADJA	_	dat|sg|fem|pos	deut-schen	_	_	B-MISC	0	_	_	_	_
_	0	0	27	158	168	Aufklärung	Aufklärung	NN	NN	_	dat|sg|fem	Auf-klä-rung	_	_	_	0	_	_	_	_
_	0	0	28	168	169	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	1	29	170	173	Mit	mit	PP	APPR	_	_	Mit	_	_	_	0	_	_	_	_
_	0	1	30	174	180	seinen	sein	PR	PPOSAT	_	dat|pl|*	sei-nen	_	_	_	0	_	_	_	_
_	0	1	31	181	187	Dramen	Drama	NN	NN	_	dat|pl|*|pos	Dra-men	_	_	_	0	_	_	_	_
_	0	1	32	188	191	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	1	33	192	198	seinen	sein	PR	PPOSAT	_	dat|pl|masc	sei-nen	_	_	_	0	_	_	_	_
_	0	1	34	199	212	theoretischen	theoretisch	ADJ	ADJA	_	dat|pl|masc|pos	theo-re-ti-schen	_	_	_	0	_	_	_	_
_	0	1	35	213	222	Schriften	Schrift	NN	NN	_	dat|pl|masc	Schrif-ten	_	_	_	0	_	_	_	_
_	0	1	36	222	223	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	1	37	224	227	die	der	PR	PRELS	_	nom|pl|masc	die	_	_	_	0	_	_	_	_
_	0	1	38	228	231	vor	vor	PP	APPR	_	_	vor	_	_	_	0	_	_	_	_
_	0	1	39	232	237	allem	alle	PR	PIS	_	dat|sg|neut	al-lem	_	_	_	0	_	_	_	_
_	0	1	40	238	241	dem	der	ART	ART	_	dat|sg|neut	dem	_	_	_	0	_	_	_	_
_	0	1	41	242	258	Toleranzgedanken	Toleranzgedank	NN	NN	_	nom|pl|fem	To-le-ranz-ge-dan-ken	_	_	_	0	_	_	_	_
_	0	1	42	259	271	verpflichtet	verpflichten	V	VVPP	_	_	ver-pflich-tet	_	_	_	0	_	_	_	_
_	0	1	43	272	276	sind	sein	V	VAFIN	_	pl|3|pres|ind	sind	_	_	_	0	_	_	_	_
_	0	1	44	276	277	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	1	45	278	281	hat	haben	V	VAFIN	_	sg|3|pres|ind	hat	_	_	_	0	_	_	_	_
_	0	1	46	282	288	dieser	dieser	PR	PDAT	_	nom|sg|masc	die-ser	_	_	_	0	_	_	_	_
_	0	1	47	289	298	Aufklärer	Aufklärer	NN	NN	_	nom|sg|masc	Auf-klä-rer	_	_	_	0	_	_	_	_
_	0	1	48	299	302	der	der	ART	ART	_	nom|sg|masc	der	_	_	_	0	_	_	_	_
_	0	1	49	303	311	weiteren	weit	ADJ	ADJA	_	gen|sg|neut	wei-te-ren	_	_	_	0	_	_	_	_
_	0	1	50	312	323	Entwicklung	Entwicklung	NN	NN	_	acc|sg|fem	Ent-wick-lung	_	_	_	0	_	_	_	_
_	0	1	51	324	327	des	der	ART	ART	_	gen|sg|neut	des	_	_	_	0	_	_	_	_
_	0	1	52	328	336	Theaters	Theater	NN	NN	_	gen|sg|neut	Thea-ters	_	_	_	0	_	_	_	_
_	0	1	53	337	342	einen	ein	ART	ART	_	acc|sg|masc	ei-nen	_	_	_	0	_	_	_	_
_	0	1	54	343	355	wesentlichen	wesentlich	ADJ	ADJA	_	acc|sg|masc|pos	we-sent-li-chen	_	_	_	0	_	_	_	_
_	0	1	55	356	359	Weg	Weg	NN	NN	_	acc|sg|masc	Weg	_	_	_	0	_	_	_	_
_	0	1	56	360	368	gewiesen	weisen	V	VVPP	_	_	ge-wie-sen	_	_	_	0	_	_	_	_
_	0	1	57	369	372	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	1	58	373	376	die	der	ART	ART	_	acc|sg|fem	die	_	_	_	0	_	_	_	_
_	0	1	59	377	388	öffentliche	öffentlich	ADJ	ADJA	_	acc|sg|fem|pos	öf-fent-li-che	_	_	_	0	_	_	_	_
_	0	1	60	389	396	Wirkung	Wirkung	NN	NN	_	acc|sg|fem	Wir-kung	_	_	_	0	_	_	_	_
_	0	1	61	397	400	von	von	PP	APPR	_	_	von	_	_	_	0	_	_	_	_
_	0	1	62	401	410	Literatur	Literatur	NN	NN	_	dat|sg|fem	Li-te-ra-tur	_	_	_	0	_	_	_	_
_	0	1	63	411	421	nachhaltig	nachhaltig	ADJ	ADJD	_	pos	nach-hal-tig	_	_	_	0	_	_	_	_
_	0	1	64	422	433	beeinflusst	beeinflusst	V	VVPP	_	_	be-ein-flusst	_	_	_	0	_	_	_	_
_	0	1	65	433	434	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	2	66	435	442	Lessing	Lessing	NP	NE	_	_	Les-sing	_	_	B-PER	0	_	_	_	_
_	0	2	67	443	446	ist	sein	V	VAFIN	_	sg|3|pres|ind	ist	_	_	_	0	_	_	_	_
_	0	2	68	447	450	der	der	ART	ART	_	nom|sg|masc	der	_	_	_	0	_	_	_	_
_	0	2	69	451	456	erste	erster	ADJ	ADJA	_	nom|sg|masc|pos	ers-te	_	_	_	0	_	_	_	_
_	0	2	70	457	465	deutsche	deutsch	ADJ	ADJA	_	nom|sg|masc|pos	deut-sche	_	_	B-MISC	0	_	_	_	_
_	0	2	71	466	476	Dramatiker	Dramatiker	NN	NN	_	nom|sg|masc	Dra-ma-ti-ker	_	_	_	0	_	_	_	_
_	0	2	72	476	477	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	2	73	478	484	dessen	der	PR	PRELAT	_	gen|sg|masc	des-sen	_	_	_	0	_	_	_	_
_	0	2	74	485	489	Werk	Werk	NN	NN	_	dat|sg|neut	Werk	_	_	_	0	_	_	_	_
_	0	2	75	490	493	bis	bis	PP	APPR	_	_	bis	_	_	_	0	_	_	_	_
_	0	2	76	494	499	heute	heute	ADV	ADV	_	_	heu-te	_	_	_	0	_	_	_	_
_	0	2	77	500	514	ununterbrochen	ununterbrochen	ADJ	ADJD	_	pos	un-un-ter-bro-chen	_	_	_	0	_	_	_	_
_	0	2	78	515	517	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	2	79	518	521	den	der	ART	ART	_	dat|pl|masc	den	_	_	_	0	_	_	_	_
_	0	2	80	522	530	Theatern	Theater	NN	NN	_	dat|pl|masc	Thea-tern	_	_	_	0	_	_	_	_
_	0	2	81	531	541	aufgeführt	aufführen	V	VVPP	_	_	auf-ge-führt	_	_	_	0	_	_	_	_
_	0	2	82	542	546	wird	werden	V	VAFIN	_	sg|3|pres|ind	wird	_	_	_	0	_	_	_	_
_	0	2	83	546	547	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	1	3	84	550	552	==	==	PP	APPR	_	_	==	_	_	_	0	_	_	_	_
_	1	3	85	553	558	Leben	Leben	NN	NN	_	_	Le-ben	_	_	_	0	_	_	_	_
_	1	3	86	559	561	==	==	NP	NE	_	_	==	_	_	_	0	_	_	_	_
_	2	4	87	564	566	==	==	O	XY	_	_	==	_	_	_	0	_	_	_	_
_	2	4	88	566	567	=	--	O	XY	_	_	=	_	_	_	0	_	_	_	_
_	2	4	89	568	576	Herkunft	Herkunft	NN	NN	_	_	Her-kunft	_	_	_	0	_	_	_	_
_	2	4	90	577	579	==	==	O	XY	_	_	==	_	_	_	0	_	_	_	_
_	2	4	91	579	580	=	--	O	XY	_	_	=	_	_	_	0	_	_	_	_
_	2	4	92	581	589	Gotthold	Gotthold	NN	NN	_	nom|sg|masc	Gott-hold	_	_	B-PER	0	_	_	_	_
_	2	4	93	590	597	Ephraim	Ephraim	NP	NE	_	nom|sg|masc	Ephraim	_	_	I-PER	0	_	_	_	_
_	2	4	94	598	605	Lessing	Lessing	NP	NE	_	nom|sg|masc	Les-sing	_	_	I-PER	0	_	_	_	_
_	2	4	95	606	609	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	2	4	96	610	613	das	der	ART	ART	_	nom|sg|neut	das	_	_	_	0	_	_	_	_
_	2	4	97	614	620	dritte	dritter	ADJ	ADJA	_	nom|sg|neut|pos	drit-te	_	_	_	0	_	_	_	_
_	2	4	98	621	625	Kind	Kind	NN	NN	_	nom|sg|neut	Kind	_	_	_	0	_	_	_	_
_	2	4	99	627	630	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	2	4	100	631	634	der	der	ART	ART	_	nom|sg|masc	der	_	_	_	0	_	_	_	_
_	2	4	101	635	647	zweitälteste	zweitält	ADJ	ADJA	_	nom|sg|masc|sup	zweit-äl-tes-te	_	_	_	0	_	_	_	_
_	2	4	102	648	652	Sohn	Sohn	NN	NN	_	nom|sg|masc	Sohn	_	_	_	0	_	_	_	_
_	2	4	103	653	656	des	der	ART	ART	_	gen|sg|masc	des	_	_	_	0	_	_	_	_
_	2	4	104	657	665	Kamenzer	Kamenzer	NN	NN	_	*|*|*|pos	Ka-men-zer	_	_	B-MISC	0	_	_	_	_
_	2	4	105	666	678	Archidiakons	Archidiakon	NP	NE	_	gen|sg|masc	Ar-ch-idia-kons	_	_	_	0	_	_	_	_
_	2	4	106	679	685	Johann	Johann	NP	NE	_	nom|sg|masc	Jo-hann	_	_	B-PER	0	_	_	_	_
_	2	4	107	686	695	Gottfried	Gottfried	NP	NE	_	nom|sg|masc	Gott-fried	_	_	I-PER	0	_	_	_	_
_	2	4	108	696	703	Lessing	Lessing	NP	NE	_	nom|sg|masc	Les-sing	_	_	I-PER	0	_	_	_	_
_	2	4	109	704	707	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	2	4	110	708	714	seiner	sein	PR	PPOSAT	_	dat|sg|fem	sei-ner	_	_	_	0	_	_	_	_
_	2	4	111	715	719	Frau	Frau	NN	NN	_	dat|sg|fem	Frau	_	_	_	0	_	_	_	_
_	2	4	112	720	727	Justina	Justina	NP	NE	_	*|*|*	Jus-ti-na	_	_	B-PER	0	_	_	_	_
_	2	4	113	728	734	Salome	Salome	NP	NE	_	nom|sg|*	Sa-lo-me	_	_	I-PER	0	_	_	_	_
_	2	4	114	735	736	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	2	4	115	736	739	geb	geb	V	VVPP	_	_	geb	_	_	_	0	_	_	_	_
_	2	4	116	739	740	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	2	5	117	741	747	Feller	Feller	NP	NE	_	_	Fel-ler	_	_	B-PER	0	_	_	_	_
_	2	5	118	747	748	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	2	5	119	749	750	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	2	5	120	750	759	1703–1777	1703–1777	CARD	CARD	_	_	1703–1777	_	_	_	0	_	_	_	_
_	2	5	121	759	760	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	2	5	122	760	761	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	2	6	123	762	766	Neun	neun	CARD	CARD	_	_	Neun	_	_	_	0	_	_	_	_
_	2	6	124	767	778	Geschwister	Geschwister	NN	NN	_	_	Ge-schwis-ter	_	_	_	0	_	_	_	_
_	2	6	125	779	786	folgten	folgen	V	VVFIN	_	pl|3|past|ind	folg-ten	_	_	_	0	_	_	_	_
_	2	6	126	787	789	im	in	PP	APPRART	_	dat|sg|masc	im	_	_	_	0	_	_	_	_
_	2	6	127	790	795	Laufe	Lauf	NN	NN	_	dat|sg|masc	Lau-fe	_	_	_	0	_	_	_	_
_	2	6	128	796	799	der	der	ART	ART	_	gen|pl|neut	der	_	_	_	0	_	_	_	_
_	2	6	129	800	805	Jahre	Jahr	NN	NN	_	gen|pl|neut	Jah-re	_	_	_	0	_	_	_	_
_	2	6	130	805	806	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	2	6	131	807	813	jedoch	jedoch	ADV	ADV	_	_	je-doch	_	_	_	0	_	_	_	_
_	2	6	132	814	824	überlebten	überleben	V	VVFIN	_	pl|1|past|subj	über-leb-ten	_	_	_	0	_	_	_	_
_	2	6	133	825	828	nur	nur	ADV	ADV	_	_	nur	_	_	_	0	_	_	_	_
_	2	6	134	829	835	sieben	sieben	CARD	CARD	_	_	sie-ben	_	_	_	0	_	_	_	_
