SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	4	Hans	Hans	NP	NE	_	nom|sg|masc	Hans	_	_	B-PER	0	_	_	_	_
_	0	0	1	5	10	Sachs	Sachs	NP	NE	_	nom|sg|masc	Sachs	_	_	I-PER	0	_	_	_	_
_	0	0	2	11	12	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	0	3	12	13	*	--	PP	APPRART	_	_	*	_	_	_	0	_	_	_	_
_	0	0	4	14	16	5.	5.	ADJ	ADJA	_	_	5.	_	_	_	0	_	_	_	_
_	0	0	5	17	25	November	November	NN	NN	_	dat|sg|masc	No-vem-ber	_	_	_	0	_	_	_	_
_	0	0	6	26	30	1494	1494	CARD	CARD	_	_	1494	_	_	_	0	_	_	_	_
_	0	0	7	31	33	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	8	34	42	Nürnberg	Nürnberg	NP	NE	_	dat|sg|neut	Nürn-berg	_	_	B-LOC	0	_	_	_	_
_	0	0	9	42	43	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	10	44	45	†	†	PP	APPR	_	_	†	_	_	_	0	_	_	_	_
_	0	0	11	46	49	19.	19.	ADJ	ADJA	_	_	19.	_	_	_	0	_	_	_	_
_	0	0	12	50	56	Januar	Januar	NN	NN	_	dat|sg|masc	Ja-nu-ar	_	_	_	0	_	_	_	_
_	0	0	13	57	61	1576	1576	CARD	CARD	_	_	1576	_	_	_	0	_	_	_	_
_	0	0	14	62	68	ebenda	Ebenda	ADV	ADV	_	_	eben-da	_	_	_	0	_	_	_	_
_	0	0	15	68	69	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	0	0	16	70	73	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	0	17	74	77	ein	ein	ART	ART	_	nom|sg|masc	ein	_	_	_	0	_	_	_	_
_	0	0	18	78	88	Nürnberger	Nürnberger	ADJ	ADJA	_	*|*|*|pos	Nürn-ber-ger	_	_	B-MISC	0	_	_	_	_
_	0	0	19	89	100	Schuhmacher	Schuhmacher	NN	NN	_	nom|sg|masc	Schuh-ma-cher	_	_	I-MISC	0	_	_	_	_
_	0	0	20	100	101	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	21	102	115	Spruchdichter	Spruchdichter	NN	NN	_	nom|sg|masc	Spruch-dich-ter	_	_	_	0	_	_	_	_
_	0	0	22	115	116	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	23	117	130	Meistersinger	Meistersinger	NN	NN	_	*|*|*|pos	Meis-ter-sin-ger	_	_	_	0	_	_	_	_
_	0	0	24	131	134	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	0	25	135	145	Dramatiker	Dramatiker	NN	NN	_	acc|pl|masc	Dra-ma-ti-ker	_	_	_	0	_	_	_	_
_	0	0	26	145	146	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	1	1	27	149	151	==	==	O	XY	_	_	==	_	_	_	0	_	_	_	_
_	1	1	28	152	161	Biografie	Biografie	NN	NN	_	nom|sg|fem	Bio-gra-fie	_	_	_	0	_	_	_	_
_	1	1	29	162	164	==	==	NP	NE	_	nom|sg|fem	==	_	_	_	0	_	_	_	_
_	1	1	30	165	169	Hans	Hans	NP	NE	_	gen|sg|neut	Hans	_	_	B-PER	0	_	_	_	_
_	1	1	31	170	175	Sachs	Sachs	NP	NE	_	gen|sg|neut	Sachs	_	_	I-PER	0	_	_	_	_
_	1	1	32	176	181	wurde	werden	V	VAFIN	_	sg|3|past|ind	wur-de	_	_	_	0	_	_	_	_
_	1	1	33	182	184	am	an	PP	APPRART	_	dat|sg|masc	am	_	_	_	0	_	_	_	_
_	1	1	34	185	187	5.	5.	ADJ	ADJA	_	nom|sg|masc|pos	5.	_	_	_	0	_	_	_	_
_	1	1	35	188	196	November	November	NN	NN	_	nom|sg|masc	No-vem-ber	_	_	_	0	_	_	_	_
_	1	1	36	197	201	1494	1494	CARD	CARD	_	_	1494	_	_	_	0	_	_	_	_
_	1	1	37	202	205	als	als	PP	APPR	_	_	als	_	_	_	0	_	_	_	_
_	1	1	38	206	210	Sohn	Sohn	NN	NN	_	nom|sg|masc	Sohn	_	_	_	0	_	_	_	_
_	1	1	39	211	214	des	der	ART	ART	_	gen|sg|masc	des	_	_	_	0	_	_	_	_
_	1	1	40	215	232	Schneidermeisters	Schneidermeister	NN	NN	_	gen|sg|masc	Schnei-der-meis-ters	_	_	_	0	_	_	_	_
_	1	1	41	233	237	Jörg	Jörg	NP	NE	_	nom|sg|masc	Jörg	_	_	B-PER	0	_	_	_	_
_	1	1	42	238	243	Sachs	Sachs	NP	NE	_	nom|sg|masc	Sachs	_	_	I-PER	0	_	_	_	_
_	1	1	43	244	251	geboren	gebären	V	VVPP	_	_	ge-bo-ren	_	_	_	0	_	_	_	_
_	1	1	44	251	252	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	1	2	45	253	257	Nach	nach	PP	APPR	_	_	Nach	_	_	_	0	_	_	_	_
_	1	2	46	258	261	dem	der	ART	ART	_	dat|sg|masc	dem	_	_	_	0	_	_	_	_
_	1	2	47	262	268	Besuch	Besuch	NN	NN	_	dat|sg|masc	Be-such	_	_	_	0	_	_	_	_
_	1	2	48	269	274	einer	ein	ART	ART	_	nom|sg|masc	ei-ner	_	_	_	0	_	_	_	_
_	1	2	49	275	287	Lateinschule	Lateinschule	NN	NN	_	nom|sg|masc	La-tein-schu-le	_	_	_	0	_	_	_	_
_	1	2	50	288	299	absolvierte	absolvieren	V	VVFIN	_	sg|3|past|ind	ab-sol-vier-te	_	_	_	0	_	_	_	_
_	1	2	51	300	302	er	er	PR	PPER	_	nom|sg|masc|3	er	_	_	_	0	_	_	_	_
_	1	2	52	303	306	von	von	PP	APPR	_	_	von	_	_	_	0	_	_	_	_
_	1	2	53	307	311	1509	1509	CARD	CARD	_	_	1509	_	_	_	0	_	_	_	_
_	1	2	54	312	315	bis	bis	PP	APPR	_	_	bis	_	_	_	0	_	_	_	_
_	1	2	55	316	320	1511	1511	CARD	CARD	_	_	1511	_	_	_	0	_	_	_	_
_	1	2	56	321	325	eine	ein	ART	ART	_	acc|sg|fem	ei-ne	_	_	_	0	_	_	_	_
_	1	2	57	326	342	Schuhmacherlehre	Schuhmacherlehre	NN	NN	_	acc|sg|fem	Schuh-ma-cher-leh-re	_	_	_	0	_	_	_	_
_	1	2	58	342	343	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	1	3	59	344	356	Anschließend	anschließend	ADJ	ADJD	_	pos	An-schlie-ßend	_	_	_	0	_	_	_	_
_	1	3	60	357	361	ging	gehen	V	VVFIN	_	sg|3|past|ind	ging	_	_	_	0	_	_	_	_
_	1	3	61	362	364	er	er	PR	PPER	_	nom|sg|masc|3	er	_	_	_	0	_	_	_	_
_	1	3	62	364	365	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	1	3	63	366	369	wie	wie	CONJ	KOKOM	_	_	wie	_	_	_	0	_	_	_	_
_	1	3	64	370	376	damals	damals	ADV	ADV	_	_	da-mals	_	_	_	0	_	_	_	_
_	1	3	65	377	383	üblich	üblich	ADJ	ADJD	_	pos	üb-lich	_	_	_	0	_	_	_	_
_	1	3	66	383	384	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
