SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	7	Hermann	Hermann	NP	NE	_	nom|sg|masc	Her-mann	_	_	B-PER	0	_	_	_	_
_	0	0	1	8	12	Karl	Karl	NP	NE	_	nom|sg|masc	Karl	_	_	I-PER	0	_	_	_	_
_	0	0	2	13	18	Hesse	Hesse	NP	NE	_	nom|sg|masc	Hes-se	_	_	I-PER	0	_	_	_	_
_	0	0	3	19	20	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	0	4	20	29	Pseudonym	Pseudonym	NP	NE	_	nom|sg|masc	Pseud-onym	_	_	_	0	_	_	_	_
_	0	0	5	30	34	Emil	Emil	NP	NE	_	nom|sg|masc	Emil	_	_	B-PER	0	_	_	_	_
_	0	0	6	35	43	Sinclair	Sinclair	NP	NE	_	acc|sg|masc	Sin-clair	_	_	I-PER	0	_	_	_	_
_	0	0	7	43	44	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	8	45	46	*	--	O	XY	_	_	*	_	_	_	0	_	_	_	_
_	0	0	9	47	49	2.	2.	ADJ	ADJA	_	_	2.	_	_	_	0	_	_	_	_
_	0	0	10	50	54	Juli	Juli	NN	NN	_	_	Ju-li	_	_	_	0	_	_	_	_
_	0	0	11	55	59	1877	1877	CARD	CARD	_	_	1877	_	_	_	0	_	_	_	_
_	0	0	12	60	62	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	13	63	67	Calw	Calw	NP	NE	_	dat|sg|neut	Calw	_	_	B-LOC	0	_	_	_	_
_	0	0	14	67	68	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	15	69	79	Königreich	Königreich	NP	NE	_	dat|sg|neut	Kö-nig-reich	_	_	B-LOC	0	_	_	_	_
_	0	0	16	80	91	Württemberg	Württemberg	NP	NE	_	dat|sg|neut	Würt-tem-berg	_	_	I-LOC	0	_	_	_	_
_	0	0	17	91	92	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	18	93	102	Deutsches	deutsch	NP	NE	_	gen|sg|*	Deut-sches	_	_	B-MISC	0	_	_	_	_
_	0	0	19	103	108	Reich	Reich	NP	NE	_	dat|sg|neut	Reich	_	_	_	0	_	_	_	_
_	0	0	20	108	109	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	21	110	111	†	†	PP	APPRART	_	dat|sg|masc	†	_	_	_	0	_	_	_	_
_	0	0	22	112	114	9.	9.	ADJ	ADJA	_	dat|sg|masc|pos	9.	_	_	_	0	_	_	_	_
_	0	0	23	115	121	August	August	NN	NN	_	dat|sg|masc	Au-gust	_	_	_	0	_	_	_	_
_	0	0	24	122	126	1962	1962	CARD	CARD	_	_	1962	_	_	_	0	_	_	_	_
_	0	0	25	127	129	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	26	130	140	Montagnola	Montagnola	NP	NE	_	dat|sg|neut	Mon-ta-gno-la	_	_	B-LOC	0	_	_	_	_
_	0	0	27	140	141	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	28	142	148	Kanton	Kanton	NP	NE	_	dat|sg|neut	Kan-ton	_	_	_	0	_	_	_	_
_	0	0	29	149	155	Tessin	Tessin	NP	NE	_	dat|sg|neut	Tes-sin	_	_	_	0	_	_	_	_
_	0	0	30	155	156	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	31	157	164	Schweiz	Schweiz	NP	NE	_	dat|sg|fem	Schweiz	_	_	B-LOC	0	_	_	_	_
_	0	0	32	164	165	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	0	0	33	166	169	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	0	34	170	173	ein	ein	ART	ART	_	nom|sg|masc	ein	_	_	_	0	_	_	_	_
_	0	0	35	174	191	deutschsprachiger	deutschsprachig	ADJ	ADJA	_	nom|sg|masc|pos	deutsch-spra-chi-ger	_	_	B-MISC	0	_	_	_	_
_	0	0	36	192	206	Schriftsteller	Schriftsteller	NN	NN	_	nom|sg|masc	Schrift-stel-ler	_	_	_	0	_	_	_	_
_	0	0	37	206	207	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	38	208	215	Dichter	Dichter	NN	NN	_	nom|sg|masc	Dich-ter	_	_	_	0	_	_	_	_
_	0	0	39	216	219	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	0	40	220	225	Maler	Maler	NN	NN	_	nom|sg|masc	Ma-ler	_	_	_	0	_	_	_	_
_	0	0	41	225	226	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	1	42	227	238	Bekanntheit	bekanntheit	ADV	ADV	_	pos	Be-kannt-heit	_	_	_	0	_	_	_	_
_	0	1	43	239	247	erlangte	erlangen	V	VVFIN	_	sg|3|past|ind	er-lang-te	_	_	_	0	_	_	_	_
_	0	1	44	248	250	er	er	PR	PPER	_	nom|sg|masc|3	er	_	_	_	0	_	_	_	_
_	0	1	45	251	254	mit	mit	PP	APPR	_	_	mit	_	_	_	0	_	_	_	_
_	0	1	46	255	266	Prosawerken	Prosawerk	NN	NN	_	dat|pl|neut	Pro-sa-wer-ken	_	_	_	0	_	_	_	_
_	0	1	47	267	270	wie	wie	CONJ	KOKOM	_	_	wie	_	_	_	0	_	_	_	_
