SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	6	Johann	Johann	NP	NE	_	nom|sg|masc	Jo-hann	_	_	B-PER	0	_	_	_	_
_	0	0	1	7	16	Gottfried	Gottfried	NP	NE	_	nom|sg|masc	Gott-fried	_	_	I-PER	0	_	_	_	_
_	0	0	2	17	20	von	von	NP	NE	_	_	von	_	_	I-PER	0	_	_	_	_
_	0	0	3	21	27	Herder	Herder	NP	NE	_	dat|sg|*	Her-der	_	_	I-PER	0	_	_	_	_
_	0	0	4	27	28	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	5	29	36	geadelt	adeln	V	VVPP	_	_	ge-adelt	_	_	_	0	_	_	_	_
_	0	0	6	37	41	1802	1802	CARD	CARD	_	_	1802	_	_	_	0	_	_	_	_
_	0	0	7	41	42	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	8	43	44	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	0	9	44	45	*	--	O	XY	_	_	*	_	_	_	0	_	_	_	_
_	0	0	10	46	49	25.	25.	ADJ	ADJA	_	_	25.	_	_	_	0	_	_	_	_
_	0	0	11	50	56	August	August	NN	NN	_	_	Au-gust	_	_	_	0	_	_	_	_
_	0	0	12	57	61	1744	1744	CARD	CARD	_	_	1744	_	_	_	0	_	_	_	_
_	0	0	13	62	64	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	14	65	74	Mohrungen	Mohrung	NN	NN	_	dat|pl|fem	Moh-run-gen	_	_	B-LOC	0	_	_	_	_
_	0	0	15	74	75	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	16	76	86	Königreich	Königreich	NP	NE	_	dat|sg|neut	Kö-nig-reich	_	_	_	0	_	_	_	_
_	0	0	17	87	94	Preußen	Preußen	NP	NE	_	dat|sg|neut	Preu-ßen	_	_	_	0	_	_	_	_
_	0	0	18	94	95	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	19	96	97	†	†	PP	APPRART	_	_	†	_	_	_	0	_	_	_	_
_	0	0	20	98	101	18.	18.	ADJ	ADJA	_	_	18.	_	_	_	0	_	_	_	_
_	0	0	21	102	110	Dezember	Dezember	NN	NN	_	_	De-zem-ber	_	_	_	0	_	_	_	_
_	0	0	22	111	115	1803	1803	CARD	CARD	_	_	1803	_	_	_	0	_	_	_	_
_	0	0	23	116	118	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	24	119	125	Weimar	Weimar	NP	NE	_	dat|sg|neut	Wei-mar	_	_	B-LOC	0	_	_	_	_
_	0	0	25	125	126	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	26	127	136	Herzogtum	Herzogtum	NP	NE	_	dat|sg|neut	Her-zog-tum	_	_	B-LOC	0	_	_	_	_
_	0	0	27	137	160	Sachsen-Weimar-Eisenach	Sachsen-Weimar-Eisenach	NP	NE	_	dat|sg|neut	Sach-sen-​Wei-mar-​Ei-sen-ach	_	_	I-LOC	0	_	_	_	_
_	0	0	28	160	161	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	0	0	29	162	165	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	0	30	166	169	ein	ein	ART	ART	_	nom|sg|masc	ein	_	_	_	0	_	_	_	_
_	0	0	31	170	179	deutscher	deutsch	ADJ	ADJA	_	nom|sg|masc|pos	deut-scher	_	_	B-MISC	0	_	_	_	_
_	0	0	32	180	187	Dichter	Dichter	NN	NN	_	nom|sg|masc	Dich-ter	_	_	_	0	_	_	_	_
_	0	0	33	187	188	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	34	189	199	Übersetzer	Übersetzer	NN	NN	_	nom|pl|masc	Über-set-zer	_	_	_	0	_	_	_	_
_	0	0	35	199	200	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	36	201	209	Theologe	Theologe	NN	NN	_	nom|pl|masc	Theo-lo-ge	_	_	_	0	_	_	_	_
_	0	0	37	210	215	sowie	sowie	CONJ	KON	_	_	so-wie	_	_	_	0	_	_	_	_
_	0	0	38	216	227	Geschichts-	Geschicht	O	TRUNC	_	_	Ge-schichts-​	_	_	_	0	_	_	_	_
_	0	0	39	228	231	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	0	40	232	248	Kultur-Philosoph	Kultur-Philosoph	NN	NN	_	nom|sg|masc	Kul-tur-​Phi-lo-soph	_	_	_	0	_	_	_	_
_	0	0	41	249	252	der	der	ART	ART	_	nom|sg|masc	der	_	_	_	0	_	_	_	_
_	0	0	42	253	261	Weimarer	Weimarer	ADJ	ADJA	_	*|*|*|pos	Wei-ma-rer	_	_	B-MISC	0	_	_	_	_
_	0	0	43	262	269	Klassik	Klassik	NN	NN	_	gen|sg|fem	Klas-sik	_	_	_	0	_	_	_	_
_	0	0	44	269	270	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	1	45	271	273	Er	er	PR	PPER	_	nom|sg|masc|3	Er	_	_	_	0	_	_	_	_
_	0	1	46	274	277	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	1	47	278	283	einer	einer	PR	PIS	_	nom|sg|masc	ei-ner	_	_	_	0	_	_	_	_
_	0	1	48	284	287	der	der	ART	ART	_	nom|sg|masc	der	_	_	_	0	_	_	_	_
_	0	1	49	288	305	einflussreichsten	einflussreich	ADJ	ADJA	_	gen|pl|masc|sup	ein-fluss-reichs-ten	_	_	_	0	_	_	_	_
_	0	1	50	306	320	Schriftsteller	Schriftsteller	NN	NN	_	gen|pl|masc	Schrift-stel-ler	_	_	_	0	_	_	_	_
_	0	1	51	321	324	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	1	52	325	331	Denker	Denker	NN	NN	_	gen|pl|masc	Den-ker	_	_	_	0	_	_	_	_
_	0	1	53	332	341	deutscher	deutsch	ADJ	ADJA	_	gen|pl|masc|pos	deut-scher	_	_	B-MISC	0	_	_	_	_
_	0	1	54	342	349	Sprache	Sprache	NN	NN	_	gen|pl|masc	Spra-che	_	_	_	0	_	_	_	_
_	0	1	55	350	352	im	in	PP	APPRART	_	dat|sg|masc	im	_	_	_	0	_	_	_	_
_	0	1	56	353	362	Zeitalter	Zeitalter	NN	NN	_	dat|sg|masc	Zeit-al-ter	_	_	_	0	_	_	_	_
_	0	1	57	363	366	der	der	ART	ART	_	nom|sg|masc	der	_	_	_	0	_	_	_	_
_	0	1	58	367	377	Aufklärung	Aufklärung	NN	NN	_	nom|sg|masc	Auf-klä-rung	_	_	_	0	_	_	_	_
_	0	1	59	378	381	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	1	60	382	387	zählt	zählen	V	VVFIN	_	sg|3|pres|ind	zählt	_	_	_	0	_	_	_	_
_	0	1	61	388	391	mit	mit	PP	APPR	_	_	mit	_	_	_	0	_	_	_	_
_	0	1	62	392	401	Christoph	Christoph	NP	NE	_	nom|sg|masc	Chris-toph	_	_	B-PER	0	_	_	_	_
_	0	1	63	402	408	Martin	Martin	NP	NE	_	nom|sg|masc	Mar-tin	_	_	I-PER	0	_	_	_	_
_	0	1	64	409	416	Wieland	Wieland	NP	NE	_	nom|sg|masc	Wie-land	_	_	I-PER	0	_	_	_	_
_	0	1	65	416	417	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	1	66	418	424	Johann	Johann	NP	NE	_	nom|sg|masc	Jo-hann	_	_	B-PER	0	_	_	_	_
_	0	1	67	425	433	Wolfgang	Wolfgang	NP	NE	_	nom|sg|masc	Wolf-gang	_	_	I-PER	0	_	_	_	_
_	0	1	68	434	440	Goethe	Goethe	NP	NE	_	nom|sg|masc	Goe-the	_	_	I-PER	0	_	_	_	_
_	0	1	69	441	444	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	1	70	445	454	Friedrich	Friedrich	NP	NE	_	nom|sg|masc	Fried-rich	_	_	B-PER	0	_	_	_	_
_	0	1	71	455	463	Schiller	Schiller	NP	NE	_	nom|sg|masc	Schil-ler	_	_	I-PER	0	_	_	_	_
_	0	1	72	464	467	zum	zu	PP	APPRART	_	dat|sg|masc	zum	_	_	_	0	_	_	_	_
_	0	1	73	468	479	klassischen	klassisch	ADJ	ADJA	_	dat|sg|masc|pos	klas-si-schen	_	_	_	0	_	_	_	_
_	0	1	74	480	491	Viergestirn	Viergestirn	NN	NN	_	dat|sg|masc	Vier-ge-stirn	_	_	_	0	_	_	_	_
_	0	1	75	492	495	von	von	PP	APPR	_	_	von	_	_	_	0	_	_	_	_
_	0	1	76	496	502	Weimar	Weimar	NP	NE	_	_	Wei-mar	_	_	B-LOC	0	_	_	_	_
_	0	1	77	502	503	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	1	2	78	506	508	==	==	PP	APPR	_	_	==	_	_	_	0	_	_	_	_
_	1	2	79	509	514	Leben	Leben	NN	NN	_	_	Le-ben	_	_	_	0	_	_	_	_
_	1	2	80	515	517	==	==	NP	NE	_	_	==	_	_	_	0	_	_	_	_
_	2	3	81	520	522	==	==	O	XY	_	_	==	_	_	_	0	_	_	_	_
_	2	3	82	522	523	=	--	O	XY	_	_	=	_	_	_	0	_	_	_	_
_	2	3	83	524	532	Kindheit	Kindheit	NN	NN	_	acc|sg|fem	Kind-heit	_	_	_	0	_	_	_	_
_	2	3	84	533	536	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	2	3	85	537	542	erste	erster	ADJ	ADJA	_	acc|pl|*	ers-te	_	_	_	0	_	_	_	_
_	2	3	86	543	554	Jugendjahre	Jugendjahr	NN	NN	_	acc|pl|*	Ju-gend-jah-re	_	_	_	0	_	_	_	_
_	2	3	87	555	557	==	==	NP	NE	_	_	==	_	_	_	0	_	_	_	_
_	2	3	88	557	558	=	--	O	XY	_	_	=	_	_	_	0	_	_	_	_
_	2	3	89	559	565	Johann	Johann	NP	NE	_	nom|sg|masc	Jo-hann	_	_	B-PER	0	_	_	_	_
_	2	3	90	566	575	Gottfried	Gottfried	NP	NE	_	nom|sg|masc	Gott-fried	_	_	I-PER	0	_	_	_	_
_	2	3	91	576	582	Herder	Herder	NP	NE	_	nom|sg|masc	Her-der	_	_	I-PER	0	_	_	_	_
_	2	3	92	583	588	wurde	werden	V	VAFIN	_	sg|3|past|ind	wur-de	_	_	_	0	_	_	_	_
_	2	3	93	589	592	als	als	PP	APPR	_	_	als	_	_	_	0	_	_	_	_
_	2	3	94	593	597	Sohn	Sohn	NN	NN	_	nom|sg|masc	Sohn	_	_	_	0	_	_	_	_
_	2	3	95	598	601	des	der	ART	ART	_	gen|sg|masc	des	_	_	_	0	_	_	_	_
_	2	3	96	602	609	Kantors	Kantor	NN	NN	_	gen|sg|masc	Kan-tors	_	_	_	0	_	_	_	_
_	2	3	97	610	613	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	2	3	98	614	626	Schullehrers	Schullehrer	NN	NN	_	gen|sg|masc	Schul-leh-rers	_	_	_	0	_	_	_	_
_	2	3	99	627	636	Gottfried	Gottfried	NP	NE	_	gen|sg|masc	Gott-fried	_	_	B-PER	0	_	_	_	_
_	2	3	100	637	643	Herder	Herder	NP	NE	_	_	Her-der	_	_	I-PER	0	_	_	_	_
_	2	3	101	644	645	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	2	3	102	645	646	*	--	O	XY	_	_	*	_	_	_	0	_	_	_	_
