SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	6	Johann	Johann	NP	NE	_	nom|sg|masc	Jo-hann	_	_	B-PER	0	_	_	_	_
_	0	0	1	7	12	Peter	Peter	NP	NE	_	nom|sg|masc	Pe-ter	_	_	I-PER	0	_	_	_	_
_	0	0	2	13	18	Hebel	Hebel	NP	NE	_	nom|sg|masc	He-bel	_	_	I-PER	0	_	_	_	_
_	0	0	3	19	20	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	0	4	20	21	*	--	O	XY	_	_	*	_	_	_	0	_	_	_	_
_	0	0	5	22	25	10.	10.	ADJ	ADJA	_	_	10.	_	_	_	0	_	_	_	_
_	0	0	6	26	29	Mai	Mai	NN	NN	_	_	Mai	_	_	_	0	_	_	_	_
_	0	0	7	30	34	1760	1760	CARD	CARD	_	_	1760	_	_	_	0	_	_	_	_
_	0	0	8	35	37	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	9	38	43	Basel	Basel	NP	NE	_	dat|sg|neut	Ba-sel	_	_	B-LOC	0	_	_	_	_
_	0	0	10	43	44	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	11	45	46	†	†	PP	APPRART	_	_	†	_	_	_	0	_	_	_	_
_	0	0	12	47	50	22.	22.	ADJ	ADJA	_	_	22.	_	_	_	0	_	_	_	_
_	0	0	13	51	60	September	September	NN	NN	_	dat|sg|masc	Sep-tem-ber	_	_	_	0	_	_	_	_
_	0	0	14	61	65	1826	1826	CARD	CARD	_	_	1826	_	_	_	0	_	_	_	_
_	0	0	15	66	68	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	16	69	81	Schwetzingen	Schwetzing	NP	NE	_	dat|sg|neut	Schwet-zin-gen	_	_	B-LOC	0	_	_	_	_
_	0	0	17	81	82	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	0	0	18	83	86	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	0	19	87	90	ein	ein	ART	ART	_	nom|sg|masc	ein	_	_	_	0	_	_	_	_
_	0	0	20	91	100	deutscher	deutsch	ADJ	ADJA	_	nom|sg|masc|pos	deut-scher	_	_	B-MISC	0	_	_	_	_
_	0	0	21	101	115	Schriftsteller	Schriftsteller	NN	NN	_	nom|sg|masc	Schrift-stel-ler	_	_	_	0	_	_	_	_
_	0	0	22	115	116	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	23	117	125	Theologe	Theologe	NN	NN	_	nom|sg|masc	Theo-lo-ge	_	_	_	0	_	_	_	_
_	0	0	24	126	129	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	0	25	130	138	Pädagoge	Pädagoge	NN	NN	_	nom|sg|fem	Päd-ago-ge	_	_	_	0	_	_	_	_
_	0	0	26	138	139	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
