SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	8	Wolfgang	Wolfgang	NP	NE	_	nom|sg|masc	Wolf-gang	_	_	B-PER	0	_	_	_	_
_	0	0	1	9	17	Borchert	Borchert	NP	NE	_	nom|sg|masc	Bor-chert	_	_	I-PER	0	_	_	_	_
_	0	0	2	18	19	(	--	PUNC	$(	_	_	(	_	_	_	0	_	_	_	_
_	0	0	3	19	20	*	--	O	XY	_	_	*	_	_	_	0	_	_	_	_
_	0	0	4	21	24	20.	20.	ADJ	ADJA	_	_	20.	_	_	_	0	_	_	_	_
_	0	0	5	25	28	Mai	Mai	NN	NN	_	_	Mai	_	_	_	0	_	_	_	_
_	0	0	6	29	33	1921	1921	CARD	CARD	_	_	1921	_	_	_	0	_	_	_	_
_	0	0	7	34	36	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	8	37	44	Hamburg	Hamburg	NP	NE	_	dat|sg|neut	Ham-burg	_	_	B-LOC	0	_	_	_	_
_	0	0	9	44	45	;	--	PUNC	$.	_	_	;	_	_	_	0	_	_	_	_
_	0	0	10	46	47	†	†	PP	APPRART	_	_	†	_	_	_	0	_	_	_	_
_	0	0	11	48	51	20.	20.	ADJ	ADJA	_	_	20.	_	_	_	0	_	_	_	_
_	0	0	12	52	60	November	November	NN	NN	_	*|sg|neut	No-vem-ber	_	_	_	0	_	_	_	_
_	0	0	13	61	65	1947	1947	CARD	CARD	_	_	1947	_	_	_	0	_	_	_	_
_	0	0	14	66	68	in	in	PP	APPR	_	_	in	_	_	_	0	_	_	_	_
_	0	0	15	69	74	Basel	Basel	NP	NE	_	dat|sg|neut	Ba-sel	_	_	B-LOC	0	_	_	_	_
_	0	0	16	74	75	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	0	17	76	83	Schweiz	Schweiz	NP	NE	_	dat|sg|fem	Schweiz	_	_	B-LOC	0	_	_	_	_
_	0	0	18	83	84	)	--	PUNC	$(	_	_	)	_	_	_	0	_	_	_	_
_	0	0	19	85	88	war	sein	V	VAFIN	_	sg|3|past|ind	war	_	_	_	0	_	_	_	_
_	0	0	20	89	92	ein	ein	ART	ART	_	nom|sg|masc	ein	_	_	_	0	_	_	_	_
_	0	0	21	93	102	deutscher	deutsch	ADJ	ADJA	_	nom|sg|masc|pos	deut-scher	_	_	B-MISC	0	_	_	_	_
_	0	0	22	103	117	Schriftsteller	Schriftsteller	NN	NN	_	nom|sg|masc	Schrift-stel-ler	_	_	_	0	_	_	_	_
_	0	0	23	117	118	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	1	24	119	123	Sein	sein	PR	PPOSAT	_	nom|sg|neut	Sein	_	_	_	0	_	_	_	_
_	0	1	25	124	132	schmales	schmal	ADJ	ADJA	_	nom|sg|neut|pos	schma-les	_	_	_	0	_	_	_	_
_	0	1	26	133	137	Werk	Werk	NN	NN	_	nom|sg|neut	Werk	_	_	_	0	_	_	_	_
_	0	1	27	138	141	von	von	PP	APPR	_	_	von	_	_	_	0	_	_	_	_
_	0	1	28	142	157	Kurzgeschichten	Kurzgeschicht	NN	NN	_	dat|pl|fem	Kurz-ge-schich-ten	_	_	_	0	_	_	_	_
_	0	1	29	157	158	,	--	PUNC	$,	_	_	,	_	_	_	0	_	_	_	_
_	0	1	30	159	168	Gedichten	Gedicht	NN	NN	_	dat|pl|fem	Ge-dich-ten	_	_	_	0	_	_	_	_
_	0	1	31	169	172	und	und	CONJ	KON	_	_	und	_	_	_	0	_	_	_	_
_	0	1	32	173	178	einem	ein	ART	ART	_	dat|sg|masc	ei-nem	_	_	_	0	_	_	_	_
_	0	1	33	179	191	Theaterstück	Theaterstück	NN	NN	_	dat|sg|masc	Thea-ter-stück	_	_	_	0	_	_	_	_
_	0	1	34	192	198	machte	machen	V	VVFIN	_	sg|3|past|ind	mach-te	_	_	_	0	_	_	_	_
_	0	1	35	199	207	Borchert	Borchert	NP	NE	_	nom|sg|masc	Bor-chert	_	_	B-PER	0	_	_	_	_
_	0	1	36	208	212	nach	nach	PP	APPR	_	_	nach	_	_	_	0	_	_	_	_
_	0	1	37	213	216	dem	der	ART	ART	_	dat|sg|neut	dem	_	_	_	0	_	_	_	_
_	0	1	38	217	224	Zweiten	zweiter	ADJ	ADJA	_	dat|sg|neut|sup	Zwei-ten	_	_	B-MISC	0	_	_	_	_
_	0	1	39	225	234	Weltkrieg	Weltkrieg	NN	NN	_	dat|sg|masc	Welt-krieg	_	_	I-MISC	0	_	_	_	_
_	0	1	40	235	237	zu	zu	PP	APPR	_	_	zu	_	_	_	0	_	_	_	_
_	0	1	41	238	243	einem	einer	PR	PIS	_	dat|sg|masc	ei-nem	_	_	_	0	_	_	_	_
_	0	1	42	244	247	der	der	ART	ART	_	dat|sg|masc	der	_	_	_	0	_	_	_	_
_	0	1	43	248	260	bekanntesten	bekannt	ADJ	ADJA	_	gen|pl|masc|sup	be-kann-tes-ten	_	_	_	0	_	_	_	_
_	0	1	44	261	268	Autoren	Autor	NN	NN	_	dat|pl|masc	Au-to-ren	_	_	_	0	_	_	_	_
_	0	1	45	269	272	der	der	ART	ART	_	gen|sg|fem	der	_	_	_	0	_	_	_	_
_	0	1	46	273	289	Trümmerliteratur	Trümmerliteratur	NN	NN	_	gen|sg|fem	Trüm-mer-li-te-ra-tur	_	_	_	0	_	_	_	_
_	0	1	47	289	290	.	--	PUNC	$.	_	_	.	_	_	_	0	_	_	_	_
_	0	2	48	291	294	Mit	mit	PP	APPR	_	_	Mit	_	_	_	0	_	_	_	_
_	0	2	49	295	301	seinem	sein	PR	PPOSAT	_	dat|sg|neut	sei-nem	_	_	_	0	_	_	_	_
_	0	2	50	302	317	Heimkehrerdrama	Heimkehrerdrama	NN	NN	_	dat|sg|neut	Heim-kehr-er-dra-ma	_	_	_	0	_	_	_	_
_	0	2	51	318	325	Draußen	Draußen	ADV	ADV	_	dat|sg|neut	Drau-ßen	_	_	_	0	_	_	_	_
_	0	2	52	326	329	vor	vor	PP	APPR	_	_	vor	_	_	_	0	_	_	_	_
_	0	2	53	330	333	der	der	ART	ART	_	dat|sg|fem	der	_	_	_	0	_	_	_	_
